operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      3.0 and up    ,Arcade,"You have so many delicious milkshakes! Slide them along the bar, but don't let them fall!,- Over 125 sweet levels,- Stunning shakes to unlock,- Delicious recipes,- Interesting milkshake facts,- Shakes are awesome!",,,"  500,000 - 1,000,000  ",28-Mar-16,1.1, 25M  ,,"6,932",4.2,Slide the Shakes
      4.0.3 and up    ,Action & Adventure,"Why should the chicken get all the fun?  ,From Hipster Whale, the makers of the original Crossy Road™ with over 120,000,000 downloads, and Disney comes Disney Crossy Road—an all-new take on the 8-bit endless adventure to cross the road without splatting!  ,Tap and swipe your way to a record-setting number of steps with 100+ Disney and Pixar figurines while dodging crazy and unexpected obstacles in the 8-bit worlds of Toy Story, Zootopia, The Lion King, The Haunted Mansion, Tangled, Wreck-It Ralph, and more.  ,•	COLLECT over 100+ Disney and Pixar figurines, including Mickey, Donald, Buzz Lightyear, Rapunzel, Mufasa, Sadness, Wreck-It Ralph, Madame Leota, and other favorites (many with fun surprises)!,•	JOURNEY through 8-bit depictions of Al’s Toy Barn, the Pride Lands of Africa, the Haunted Mansion, San Fransokyo, and more while enjoying 8-bit versions of familiar tunes like “You’ve Got a Friend in Me” and “I Just Can’t Wait to be King!”,•	MASTER special themed challenges unique to each of the worlds, such as weathering blizzards, collecting cherries to earn special power-ups, avoiding thundering stampedes of wildebeest, staying clear of falling barrels, and then some!,You can upload and save content from this app to your device,Visit the official Disney Crossy Roads website - ,http://games.disney.com/disney-crossy-road,Privacy Policy – ,http://disneyprivacycenter.com,Terms of Use – ,http://disneytermsofuse.com",,,"  1,000,000 - 5,000,000  ",4-Apr-16, 1.000.6462  , 44M  ,Top Developer,"112,292",4.5,Disney Crossy Road
      4.0.3 and up    ,Strategy,"- Enter your country's guild and vie with players from all over the globe to become the ruler of the universe!,- When you download the game now, you'll be one of the first to receive $10 in new player boosters while supplies last!,I built, I sailed, I con",,,"  100,000 - 500,000  ",7-Apr-16, 1.0.2  , 76M  ,,"10,776",4.3,Ark of War
      2.3.3 and up    ,Creativity,"Did you ever imagine of being a hairdresser? Trim, grow, style, dye... Well, we need one right now! If you're talented, prove it to the world. You see, we got a lot of guests with diverse hair requests, long or short, curly or straight, purple or pink... And you will be the one to give them the haircut of their dreams! When the work of the day is finished, you can come to design your own hairstyles in free mode, as practice makes perfect. Dadada... Now take pictures of your designs, and put them on the photo wall. They'll definitely be your sweet memory.,How to play:,Open the game and tap the PLAY button to start. Let's first try the Copy Mode, choose the first task in it, remember the guest's request, and then click ""Next"". Now, your work begins. After washing the hair, her ideal hairstyle will come into your sight, watch the picture carefully and follow it. You got a dozen of tools to style, scissor, curling irons, and so much more. When everything is complete, click ""Done"" and your work will be graded. Serving guests might be tiring, why not try the free mode, in which you can design the model the way you like. Dye the hair with colors that you have no courage to try in real life, it's all up to you. Here, all you have to do is release your imagination., Features:,- Challenge your styling skills with 18 tasks,- Have fun with dozens of tools and accessories,- Exploit your potential in the fun-filled free mode,- Show your fine designs on the photo wall,- Grade your work with a brand new rating system,About Libii Game:,With over 400 million downloads and growing, Libii is committed to creating innovative games for kids. We'll keep working on establishing a good relationship with both parents and their children and bringing a healthy, happy atmosphere for them.,Visit us: ,http://www.libii.com/,Like us: ,http://www.facebook.com/LibiiGame,Contact us:,Got any ideas? Suggestions? Need technical support? Please feel free to contact us 24/7 at ,WeCare@libii.com,Need You Know:,This app is totally free to download and play, some basic items are also free to use, but some additional items need you to purchase and pay to unlock. Therefore, if you do not want to use these items, please turn off the in-app purchase in your settings. Thanks.",,,"  50,000 - 100,000  ",28-Mar-16,1, 82M  ,,873,4,Hair Fashion
      4.0.3 and up    ,Simulation,"Fleet Commander: Pacific is the first 3D Naval RPG mobile game. More than 100 server and millions of players have joined in this fierce warship battle! ,Take command of the Real Warship and vary 3D visual of Naval Warships ever on the Pacific Ocean in history detail. Command world’s famous captain and build up your own legendry fleet. Take theme on the Pacific Ocean and battle for glory! Experience naval battles with latest 3D technology. You could be the one who rewrite the history of Pacific War!,FLEET COMMANDER: PACIFIC GAME FEATURE,Build Your Grand Fleet,☆Collect warships though researching, base expanding and challenges,☆Customize design of your warships to maximize its firepower,☆Upgrades crew members to build the most effective naval force,☆Vary Tactical chooses, every single decision will make differences,☆Raid and convoy. Protect your naval military supplies from other fleets’ looting,☆Earn Honor to promote yourself from ensign to admiral and receive glorious respect,Vary Gameplay With History Detail,☆100+ famous warships ready for your command though base development,☆80+ famous naval commanders with naval history details and unique abilities,☆200+ campaign level for you to conquer,First Naval RPG with 3D Graphics:,☆Incredibly Immersive experience in high tension naval battles ,☆Next generation 3D graphics and spectacular visual effects,☆Realistic 3D ship model replicate warship detail with historical accuracy,Fleet Commander: Pacific focus on the using strategy in developing your exclusive fleet. It’s easy to learn and hard to control since each single decision can greatly decide your final result. Do you want to be the best commander? Download Fleet Commander: Pacific and challenge yourself in Championship right now!,Fleet Commander: Pacific is completely free to play, however some warship related items can also be purchased for real money. please set up password protection for purchases in the settings of your Google Play Store app.,For any questions or comments on the awesome Naval Warship strategy, reach out to us at: ,fleetcommanderpacific@gmail.com,Facebook: ,https://www.facebook.com/fleetcommanderpacific,Surviving in the fierce battle field will be a huge challenge. Are you prepared?,Fleet Commander: Pacific is the first 3D Naval RPG mobile game More than 100 server and millions of players have joined in this fierce warship battle.!,Take command of the Real Warship and vary 3D visual of Naval Warships ever on the Pacific Ocean in history detail. Command world's famous captain and build up your own legendry fleet. Take theme on the Pacific Ocean and battle for glory! Experience naval battles with latest 3D technology. You could be the one who rewrite the history of Pacific War!,FLEET COMMANDER: PACIFIC GAME FEATURE,Build Your Grand Fleet,☆ Collect warships though researching, base expanding and challenges,☆ Customize design of your warships to maximize its firepower,☆ Upgrades crew members to build the most effective naval force,☆ Vary Tactical chooses, every single decision will make differences,☆ Raid and convoy. Protect your naval military supplies from other fleets' looting,☆ Earn Honor to promote yourself from ensign to admiral and receive glorious respect,Vary Gameplay With History Detail,☆ 100 + famous warships ready for your command though base development,☆ 80 + famous naval commanders with naval history details and unique abilities,☆ 200 + campaign level for you to conquer,First Naval RPG with 3D Graphics:,☆ Incredibly Immersive experience in high tension naval battles,☆ Next generation 3D graphics and spectacular visual effects,☆ Realistic 3D ship model replicate warship detail with historical accuracy,Fleet Commander: Pacific focus on the using strategy in developing your exclusive fleet It's easy to learn and hard to control since each single decision can greatly decide your final result Do you want to be the best commander Download Fleet Commander:..? Pacific and challenge yourself in Championship right now!,Fleet Commander: Pacific is completely free to play, however some warship related items can also be purchased for real money please set up password protection for purchases in the settings of your Google Play Store app..,For any questions or comments on the awesome Naval Warship strategy, reach out to us at: ,fleetcommanderpacific@gmail.com,Facebook: ,https://www.facebook.com/fleetcommanderpacific,Surviving in the fierce battle field will be a huge challenge. Are you prepared?",,,"  10,000 - 50,000  ",8-Apr-16, 1.0.0  , 40M  ,,371,4,Fleet Commander:Pacific
      4.0 and up    ,Simulation,"Push the big red button and DESTROY THE WORLD, then profit from the destruction!,You’ve spent years developing the technology to withstand the total destruction of the earth’s surface, and Doomsday survivors will have no choice but to turn to YOU—their rescuer, their benefactor, their SUPREME LEADER! Tap the buttons to build your underground shelter, then tap some more to expand it with luxurious rooms and upgrades. The bigger your bunker, the more people you hold, and the more coins you make. Keep tapping and watch as your profits grow to greater and more outrageous extremes!,Doomsday Clicker is filled with crazy characters and who warm your heart, right before you destroy them all. It’s the ultimate game of construction and destruction!,In Doomsday Clicker you can:,• Collect bonuses when “unwanted visitors” come knock-knocking at your bunker’s door,• Discover endless quirky surprises!,• Feel immense satisfaction as numbers tick ever higher ,• Visit THE SUPERCHARGER, a wheel of chance that gives a limited-time productivity boost,• Destroy the world over and over again to increase profits. Destroy the world, and build it up again, making more and more every time!,• Meet tons of crazy characters… and watch them mutate,• Stay tuned! More locations, enemies and survivors characters are coming soon!,Doomsday Clicker is free to play but offers some game items for purchase with real money.,We love to hear from our players! On Twitter? Drop us a line @pikpokgames and join the conversation with #DoomsdayClicker",,,"  1,000,000 - 5,000,000  ",31-Mar-16, 1.1.2  , 42M  ,Top Developer,"31,803",4.1,Doomsday Clicker
      2.3 and up    ,Racing,"Bike Racing Mania is all about bike balance, skill and control as you guide your rider across the ramps, jumps, barrels and obstacles.,30 levels, high end graphics, realistic physics engine that tests your abilities and control. Negotiate hundreds of obstacles including ramps, jumbo tires, rocks, planks and more in this exciting racing games. It is an extreme test of skills, over all kinds of obstacles, both natural and man-made. Try bike racing through a world of adventure and crazy characters. Go crazy with the combinations, it’s your ride - your rules.,If you like stunt games then you will love this one to.,Features:,- User friendly GUI and controls fit for a stunt games.,- Different amazing heavy sports upgrades and offroad Bikes.,- Realistic 3D graphics with dynamic lighting and amazing environments",,,"  1,000,000 - 5,000,000  ",7-Apr-16,,,Top Developer,"14,140",3.9,Bike Racing Mania
      2.3 and up    ,Card,"Download now!  Vegas Roulette Kingdom! Let your luck roll with the American Roulette!,Bet coins before each game and win a lot !,WIN BIG in Solitaire, Blackjack, Roulette, Baccarat, Lucky Bet and more! Sit down, relax, have a drink & some chips – on us. ,Roulette Classic Highlights:,♠ High Quality!Great Graphics!,♠ Roulette,Solitaire,Blackjack,Baccarat,Lucky Bet,♠ Custom themes and Casino backgrounds,♠ Bet to win tons of coins,♠ Fun and surprising Achievements,♠ Phone and Tablet support,Simple and addicting, Vegas Roulette Kingdom is sure to bring back old memories or give your big fresh of casino days!,We've taken the quintessential Roulette experience and revamped it for the new century.,What are you waiting for?  Download, Play Vegas Roulette Kingdom now for FREE!",,,"  10,000 - 50,000  ",6-Apr-16,1.2, 13M  ,,76,3.8,Vegas Roulette Kingdom
      2.3.3 and up    ,Puzzle,"Save the Gingerbread friends trapped by evil Monsters! Calling your brainpower and willingness to take on challenges in this puzzle mission. Free to play, just get your spirit ready! ,Link Flash is a new game from the casual puzzle game makers of Monster Busters. In this oddly beautiful and mysterious Asian temple towers and gardens, start your puzzle journey, link as long as you can, and beat the Monsters. The simple game play where you draw lines to link Monsters will lead you to fun relaxation.,★ Practice advanced link and match play rules,Link 3 or more Monsters of a kind that are neighboring each other or diagonal. You’ll see beautiful glowing lines following your magic links! The longer you connect, the more special bombs you'll create and this will power up your hero. Try connecting them to make loops, and see the high impact bombs placed as a prize.,★ Strategize for different missions,Variety of mission types will keep you entertained! Climb up the Monster tower, enter into the rooms to battle, and find magical new missions like tooth cages, ice cells, cursed monster jars. Exercise your brain to come up with the best play strategies to connect as long as you can!,★ Challenge the Monsters as they reinforce,Monsters keep evolving and strengthening to keep the Gingerbread.  They will throw stormy clouds, sticky spider nets, tangling chains on your way. Your brain will be teased as you’re introduced to new Monsters in different episodes and try to break the puzzles. ,★ Enjoy beautiful and unique Asia-themed artwork,Monsters built their hive in a faraway Asian temple tower to trap Gingerbread friends. You’ll embark on an adventure to explore fully of exotic and charming Asian universe. Enter into the mysterious rooms decorated with paper lanterns and Asian totems. Draw your lines to see glowing effect and win. ,★ Play with friends, compete and help,You’re not the only one in this challenging adventure! Find your friends that are already playing or invite your own friends to enjoy this magical journey. Connect with the amazing fans of Monster Busters on Facebook, and join the gang. You can exchange free coins to buy special gear and share hearts to continue your adventure.,Features:,- Unique match game play by drawing lines to link Monster tiles,- Free to play with lots of bonus coins and birthday gift!,- Receive free coins from every stage you beat, and use them for special weapons and lives,- Items and coins purchases are available as you need,- Various missions and monster blockers offered and will be added to work out your brain,- 200 stages offered, and more added every week, did you know that Monster Busters original game has over 3,000 stages?,- Pick your favorite avatar hero from the selection of adorable kids,- Achieve different goals, and receive worthwhile badges into your collection,  ,---------------------------------------------,Link Flash is completely free to download and play, but some in-game items may need to be purchased.,---------------------------------------------,Visit our official homepage for more information: ,http://www.purplekiwii.com/link.php,Like us on Facebook for the latest news: ,http://www.facebook.com/monsterbusterslink/,Terms of Service: ,http://www.purplekiwii.com/terms.php,Privacy Policy: ,http://www.purplekiwii.com/privacy.php",,,"  100,000 - 500,000  ",7-Apr-16, 1.0.14  , 37M  ,Top Developer,"7,309",4.7,Monster Busters: Link Flash
      3.0 and up    ,Simulation,"Underwater Adventures begin!!,**Take control of a Pliosaurus in this action packed adventure Simulation**,Play as an Ancient Ocean predator and learn the fun of devouring your prey. A Predator come from Jurassic age with an appetite as big as its size, you can hunt and eat anything. See the world as an ultimate ocean predator that will attack anything it sets its bulging eyes on. Control this giant in water. Eat everything in your way and keep the killing spree going.,Ocean, Beach and everything around all is your!! Attack, kill and hunt the Swimmers, Divers and ocean creature comes on your way to survive in a Wild Ocean. Attack people on boats or just hunt down fish in the water - it doesn’t matter for you are the king of the sea. Ultimate Ocean Predator 2016 packed with lots of fighting mission between massive Pliosaurus, Shark and Whales.,Complete different mission and earn coins to explore more advance features. Control your beast with easy controls; remember not to let the beach goers relax! You can attack every chance you get so feed your appetite and complete the missions!,Ultimate Ocean Predator 2016 Features Includes:,• Awesome 3d Sea and beach environment,• Animated Great Pliosaurus,• Amazing Textures of Pliosaurus to unlock,• Animated Aquatic animals including Shark, Orca, Whale, Dolphin, Jellyfish and more.,• Exciting killing missions,• Magical underwater environment and effects.,• Smooth game play and easy controls,• Awesome Visuals and sound Effects,• Lots of people people to kill including Scuba Divers, Swimmers, Beach Goers, Fishermen etc,• Thrilling prey hunting challenges,Install! Play! And feel the Rush being Ocean Predator!,About Tapinator:,Tapinator (Ticker: TAPM) designs, develops, and publishes games on mobile platforms. The Company’s portfolio includes over 200 mobile gaming titles that, collectively, have achieved over 190 million downloads. Tapinator is headquartered in New York. For more info, visit Tapinator.com",,,"  100,000 - 500,000  ",23-Mar-16,1.1, 50M  ,,"3,631",3.8,Ultimate Ocean Predator 2016
