operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      2.3.3 and up    ,Puzzle,Hidden Objects – Castle Gardens is a magnificently designed seek and find game with 35+ levels. ,,,"  500 - 1,000  ",19-Feb-16,1.1, 67M  ,,6,4.3,Hidden Object - Castle Gardens
      4.0 and up    ,Action,,Minor Bug Fixed!,,"  5,000 - 10,000  ",12-Feb-16, 1.0.2  , 45M  ,,72,3.6,Winter War: Air Land Combat
      2.3 and up    ,Simulation,"You wont see any roads any more in this off-road 4x4 driving adventure simulation. a driving adventure on hill and mountains off-roads. Experience the thrill of advanced driving amazing SUVs, Trucks, Monster Trucks, Hummer and Jeeps in a wild, road less environment. Speed off with NO restrictions into beautiful graphics, realistic physics, and action packed excitement. A realistic driving simulator with smooth controls and 4x4 physics packs quite a ride!The best off-road truck driver simulation finally hits the store.Get behind the wheel and become the best off-road truck driver in the world!Ready to experience realistic driving and exciting offroad experience?","eleventh level bug fixed,In-app purchase fixed",,"  1,000 - 5,000  ",25-Feb-16, 1.1.1  , 48M  ,,60,4,4x4 Off-Road Driving Adventure
      2.3 and up    ,Creativity,Time to style up little princess Baby Hazel in different makeovers!,,,  100 - 500  ,23-Feb-16,8, 35M  ,,66,3.9,Baby Hazel Hair Day
      2.3 and up    ,Role Playing,"We are happy to present you one of the newest fashion games in 2016 called Dress Designer - Doll Fashion, a game for all girls that wants to design beautiful clothes with a lot of colors and patterns. If you like fashion trends, we give you the chance to have your own fashion studio and design your own clothes.",,,"  1,000 - 5,000  ",12-Feb-16,1, 16M  ,,21,3.7,Dress Designer - Doll Fashion
      2.3 and up    ,Simulation,"Start your duty as the ultimate Tow truck driver to lift, park and save busted and accidental cars. Traffic is blocked on modern city roads due to accidents and damaged cars stuck on roads. Be ready for the emergency and help people before they call 911 for help. Drive your tow truck on the city roads and rescue the people in trouble.",,,"  1,000 - 5,000  ",1-Feb-16,1, 36M  ,,21,4,Tow Truck Car Transporter Sim
      2.3 and up    ,Adventure,Borneo Adventure Super is a game that is fun and popular android. In this game there are 60 levels. It is time we adventurer.,,,"  10,000 - 50,000  ",1-Feb-16,1, 14M  ,,218,3.8,Borneo Adventure Super
      2.3.3 and up    ,Arcade,"how to play:,- touch on the screen and drag left or right to move the ball.",,,"  1,000 - 5,000  ",16-Feb-16, 0.0.2  , 8.2M  ,,46,3.4,Color Switch Piano
      2.2 and up    ,Puzzle,"During his US trip, a tourist trapped inside  Runway And Hotel.There are some clues, puzzles and objects left. Find those objects and hints, solve the puzzles and help the tourist to escape out.",,,"  1,000 - 5,000  ",20-Feb-16, 1.0.1  , 18M  ,,142,4.1,Escape From Runway
      4.0.3 and up    ,Puzzle,CricQuest is a fun real time quizzing app based on events in a live cricket match. Play with your friends while watching a match and stand the chance to win super exciting prizes. ,,,"  500 - 1,000  ",26-Feb-16,0.9, 2.5M  ,,50,4.7,CricQuest
      3.0 and up    ,Racing,"Traffic Rider Speed 2016..,Are you ready to have your driving license? Test your riding skills with this racer app,Traffic Rider City 2016 is the best of racing games and one of the best game in traffic endless game simulators.",,,"  10,000 - 50,000  ",10-Feb-16,1, 3.3M  ,,539,3,Traffic Rider Speed 2016
      2.3.3 and up    ,Adventure,"We welcome you to play season 2 of world amazing hunting game “Jungle Dinosaur Hunting” in a dense and lush green forest, surrounded by a range of mountains for a lifetime hunting journey. Now, you are in the world of dinosaurs with huge skulls, large bone crunching teeth, powerful jaws and legs. In this dino hunting game, you will come across with different dinosaurs which are both herbivores and carnivores. You will face the most deadly dinosaurs having wild teeth over claws like Allosaurus, Brachiosaurus, Diplodocus, Giganotosaurus and armored dinosaurs like Stegosaurus etc. It is an entertainment game with high quality graphics.",,,"  1,000 - 5,000  ",19-Feb-16,1, 46M  ,,35,4.2,Jungle Dinosaurs Hunting 2 -3D
      2.1 and up    ,Casual,"""X-ray body scanner simulator"" is a realistic simulation of Xray machine. You can make fake Xray scans with this funny app! Let your friends think that it really makes roentgen scans!",,,"  10,000 - 50,000  ",24-Feb-16,2, 2.1M  ,,127,2.8,X-ray scanner simulator
      3.0 and up    ,Casual,"Let's Harvest Farm is a farm business game offering more action than farm games. You are not only a farmer who plants and harvests or feeds animals but also a business man having a factory to produce farm products like milk, cheese, bread, strawberry pie and a store to sell the crops and to earn money. You can buy new buildings and set up new business in this happy farm town. Go to your green farm where you plant wheat or fruits, feed farm animals like cow . After farming , collecting milk, harvesting the plants, go to the factory to produce fish grill, cheese, bread or strawberry pie. You need a staff for the store. Hire staff and supply more and more farm products to make your customers satisfied.",#NAME?,,"  1,000 - 5,000  ",19-Feb-16, 1.0.1  , 80M  ,,121,4,Let's Harvest Farm
      4.0 and up    ,Casual,"Your boyfriend has told you that he’s taking you to the summer fair for your next date! Are you ready to experience love while exploring a fun seaside carnival? Prep time here you come!, , Your boyfriend always thinks of the neatest date ideas, and you’re super excited for this next date! You want to look and feel your best for this fun casual date that he’s planned. Go to the spa for a skin treatment or two. Add some makeup to bring out your natural beauty. Find the perfect outfit to impress him on your fun date to the fair!, , How to Play:, • You’ve been asked to go the carnival for a date, • Lavish your skin with some love at the spa, • Put on some lovely makeup to accent your feature, • Play dress up with some fun and flirty outfits to impress your boyfriend, • Get ready to have the time of your life on holiday, , The summer holiday is in full swing, and nothing is better than enjoying a fun afternoon date at the carnival on the shore. You can ride the Ferris wheel and explore the boardwalk eating cotton candy, but first you’ve got to get ready! Download today!",,,"  5,000 - 10,000  ",24-Feb-16,1.1, 43M  ,,109,4.2,Our Sweet Date - Summer Fair
      2.3 and up    ,Casual,"Hi, today is very nice, the sun rises and all of nature came to life. It is a perfect day for a party. What do you say? Stay with us? You want to have fun? If you want to have a wonderful day here is the right place. Through this makeup game for girls you'll be able to make your friends and even participate in the most beautiful pool party. We know you'll enjoy what we have prepared for you, you may have to help our friends to prepare for the pool party that takes place every summer. For such a party is a lot of work, many details need to be established. For private event will be a memorable one should be very attentive to every detail of this pool party dress up game but do not forget that besides organizing parties will have to be a good designer. You have to do the most beautiful swimsuit.,You will be very excited about your work and know that you will want to stay to spend with us.,Follow all instructions.,Success!",,,"  5,000 - 10,000  ",16-Feb-16,4.2, 28M  ,,38,3.9,Dress Up For Pool Party
      4.0 and up    ,Adventure,Escape the Room 3 - is the sequel of a text game quest: solve mind puzzles & riddles and search for the exit & escape from a creepy prison place! Kate had managed to set free the spirit of Elsa and now she’s stuck in the odd world. To get out and bring her life back Kate needs to reveal her grandma’s secret and meet the residents of this place. Help her make it out alive & sane and finish her weird trip. Be attentive and watch closely: more dangerous mysteries and riddles are coming! The hardest and the longest part of Kate’s adventure has begun!,Added players community,,"  10,000 - 50,000  ",23-Feb-16,1.2, 7.1M  ,,520,4.4,Escape the Room 3. Quest
      2.3 and up    ,Casino,"Mighty Griffin Vegas Slots takes you into the world of noble griffins, magical creatures, knights and other fantasy things of the European Middle Ages who were not afraid to take part in glorious fight. ",,,"  10,000 - 50,000  ",9-Feb-16,,,,"1,129",4.3,Mighty Griffin Vegas Slots
      2.3 and up    ,Simulation,"Welcome to Ultimate Weapon Simulator, large arsenal of assault rifles, pistols, shotguns and snipers.,If you are a big fan of weapons as we are then this is perfect gun app for you. We chose the BEST weapons with high precision, caliber, durability and firepower. With realistic weapon sound, rich feature, Full HD graphics and authentic mechanics, you can also build the weapon as you want. Every single weapon is for free with all attachments unlocked. Contains many different camouflage accessories such as optics, lasers, lights, reflex sights and much more! ,But, this is not all. Also, with firearms simulator and gun custom in one you will have adjustable slow motion, so you can choose how many slow gun can shoot, unlimited ammo, vibration, shake sensor to so you can enjoy even more in this simulator game. ,When you start fire you will hear powerful sound effect of the gun, 3D shell will drop down realistically and you will feel like you have real weapon in your hands! ",,,"  1,000 - 5,000  ",3-Feb-16,1, 33M  ,,40,4,Ultimate Weapon Simulator FREE
      2.3 and up    ,Simulation,"Super Surgery Simulator is a heart doctor, face plastic surgery and stomach surgery game for kids. These awesome doctor games with real doctor tools and crazy surgeon treatments are so much fun to play. With crazy game play, Open Heart Surgery Simulator has real heart transplant, Stomach surgeries has amazing clinical treatments and face plastic surgery has ultimate operations. The ambulance has reached the hospital in time otherwise the patient would have gone in a frozen state. He might need a pacemaker fixed inside him or a kidney transplant done or a skin plastic surgery. Cut open the skin, avoid damaging the rib cage and other organs. Track your progress; keep checking the instant heart rate monitor. Gain health & fitness with simple surgery simulations. Be the doctor kids love to visit and get treated with. This educational game has the best surgery simulation on play store. A biggest rush of patients injured and suffering with heart diseases, stomach problems and face plastic surgery are coming to your hospital to get their surgeries done. Get to know their history first before treating them and sending them to the operation theater. They have their brain doctor surgery reports with them or they might have a stomach disease already. They may have been suffering with lungs problem or liver problem or a kidney disease. Be careful while doing the Open Heart Surgery Simulator, Stomach surgery or Plastic Surgery on your sick patients. Be the Face Plastic surgery doctor to treat the patients with scars, wounds and injuries. Super Surgery Simulator has so much fun options to try crazy surgery simulator at your clinic. Kill those germs causing pain and diseases. There is a biggest rush of patients waiting outside your clinic to get treated., ","- Minor Bug Fixes.,- Better User Experience.",,  1 - 5  ,29-Feb-16,1.1, 44M  ,,16,2.9,Super Surgery Simulator
      2.2 and up    ,Puzzle,"During his US trip, a tourist trapped inside The Old Bakery.There are some clues, puzzles and objects left. Find those objects and hints, solve the puzzles and help the tourist to escape out.",,,  100 - 500  ,21-Feb-16, 1.0.0  , 18M  ,,118,4.6,Escape From Old Bakery
      2.3 and up    ,Strategy,"◆◆Explore the vast open world, forge the ace mecha squad, and engage with enemies on battlefield! ,◆◆Benefits and Rewards: Payment discounts, various Level-up rewards, FREE daily online gift for 30 days, and abundant fun events are waiting for you!,===Media Review===,“The most expected Mecha-theme Mobile Game in 2016”,“Amazing graphic and stunningly detailed combat system will definitely make a difference while comparing with other games”,“An epoch-making change for traditional turn-based battle game, the perfect combination of turn-based battle and strategy game on one screen”,===Game Features===,◆Various Mechas and Pilots---Hundreds of Mechas and Pilots await for your command to defend human civilization from cunning and brutal aliens.,◆Deep Upgrade System---Enhance your mechas and pilots regularly through detailed and thorough upgrades across all levels. ,◆Gripping Single-Player Campaign---Battle through hundreds of missions given to you, and uncover the dark truth behind the heat death of universe.,◆Strategic Multiplayer Gameplay. Forge powerful alliances with other elite players, pile up resources by raiding hundreds of enemy bases, and band together for galaxy dominateon.,===Ongoing Events===,◆First payment gets 200% extra diamonds, a purple quality weapon and rich amount of coins!,◆Contact customer service before March 15th, a mysterious newbie gift could be rewarded. Limited gifts like the early birds!,===Contact Us===,Customer Service Email: ,Wechat Public ID: MechaGear,Official Facebook Website: ",New Game!!!,,"  500 - 1,000  ",21-Feb-16, 1.0.0  , 117M  ,,125,4.4,Mecha Gear
      2.3 and up    ,Simulation,"Drive BMX Simulator in the City - this is a game BMX bike driving simulator in the city in the first person. Ride among the streets, in the park, at home. Be careful with the cars on the roads. Will appeal to all. Will appeal to those who like extreme sports and sports. BMX is not a race bike with which you can do tricks. Start playing for free now and play anywhere without an internet connection, places such as the subway, far from the city street.,Thank you for playing with us, leave us your ratings and reviews, and we will do all that we can with the new updates!",,,"  1,000 - 5,000  ",3-Feb-16,1, 59M  ,,92,3.6,Drive BMX in City Simulator
      2.3 and up    ,Racing,"The new physics engine, 3D quality to bring more exciting driving experience, more perfect visual experience, enjoy running and damage , enjoy the place of the world!",,,  100 - 500  ,22-Feb-16,1.2, 41M  ,,22,4.5,Speed Driver
      2.3 and up    ,Simulation,"❤A thrilling ride through jungle, Rocks and treetops in 3D❤,❤Happy new Monkey year of 2016❤",,,"  5,000 - 10,000  ",10-Feb-16,1.1, 41M  ,,48,3.7,Monkey Simulator 3D
      4.0 and up    ,Word,"Crossword puzzle in word fit, word fill or fill-in mode with online leaderboard. This game is a variation of the common crossword puzzle in which words, rather than clues, are given.",,,"  1,000 - 5,000  ",25-Feb-16,1.1, 3.3M  ,,140,4.3,Crossword : Fill-it-in
      2.3 and up    ,Casino,Welcome to 777 Slots - the classical Red White Blue slot machine!,"Ver 1.1,- Achievement bug fixed",,"  1,000 - 5,000  ",17-Feb-16,1.1, 25M  ,,48,4.1,777 Slots: Red! White! Blue!
      2.3 and up    ,Role Playing,33% off until February 19th!,,,"  1,000 - 5,000  ",12-Feb-16, 1.0.1  , 4.5M  ,,87,4,The Daring Mermaid Expedition
      2.3 and up    ,Casual,Let your right and left brain compete in this fast-paced game. Simply click on the correct word/color combo to earn a point before time runs out!,"-Added Google Play Leaderboards,-Added social media links.,-Added a non-timed practice mode.",,"  1,000 - 5,000  ",25-Feb-16, 1.3.1  , 11M  ,,56,4.7,Wacky Words
      4.0 and up    ,Simulation,,Minor Bug Fixes!,,"  1,000 - 5,000  ",22-Feb-16, 1.0.2  , 53M  ,,42,3.9,Helicopter Rescue Snow Storm
      2.3 and up    ,Adventure,"We've Reloaded the graphical interface of the Game and added some surprises. ,Get started and find out what's new and share it with your Friends!",,,"  1,000 - 5,000  ",19-Feb-16, 0.0.1  , 14M  ,,74,4.2,Fancy Craft Reloaded
      4.0.3 and up    ,Word,A fast paced magical word finding game.  Explore playing with different charms and spells to make your way to the top of the weekly tournament leaderboard.,"* Adjusted game balance,* Improved leaderboard display,* Fixed crash after game over",,"  1,000 - 5,000  ",17-Feb-16, 1.0.1  , 25M  ,,22,4.5,Spell Blitz
