operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      4.0.3 and up    ,Adventure,"Jungle World is a journey of super boy, his name is Mario. There are many obstacles on the journey. There is no other way, Mario must overcome all of obstacle to run to target.,How to play,+ Use button to move, jump and fire,+ Find weapon in hidden blocks,+ Collect coin, jewel ,Features,+ Addictive gameplay for running game,+ 4 worlds, 80 levels, many monsters,+ Many scenes (jungle, desert, subway world, ...)",,,"  50,000 - 100,000  ",29-Mar-16,1.4, 15M  ,,539,4.4,Jungle World
      2.3 and up    ,Role Playing,"In a land far, far away there once was a vast continent called Milton. It was a land where the power of rule came by the sword and the arcane, where Men who devoted themselves to the blade or to magecraft, could become the finest warriors, wisest wizards or the greatest adventurers. In this land, there are several kingdoms divided by borders but united through history. Countless stories of alliances, upheaval, and moments of peace bedeck this tapestry, but that is a tale for another day. ,Our story begins in a remote kingdom to the north, Iblis, an obscure and oft-forgotten place. It is a wild and barren land, a place where its people scrape a living from the earth, mining minerals for the lords of the south. On occasion, adventurers would stop by for the night but never linger. Until one day, a fledgling adventurer lost his way and stumbled into a hole. The story might have ended then had he not come back, but return he did, with sacks of gold and glittering treasure. ,Like a fierce gale from the north, news of his fame and fortune fanned across the kingdoms overnight, and kings sent their bravest warriors and adventurers to clear the cavern of monsters in search of treasure. Even peasants wanting a part of this newfound wealth partook in these expeditions. In no time at all, a bustling town had sprung up in this forgotten place. People set up camps, and formed their own groups to explore the cave. Clever merchants not missing this opportunity, built taverns and shops near the cave, selling equipment and potions to eager adventurers. At first everything seemed fine. As explorers delved into the caves, they encountered new creatures and discovered new treasures. Mysteries continued to poured forth from the cave, yet nobody knew where the source of the secrets lay. However, as the explorations continued, the balance of wealth beyond the cave began to waver, and cracks appeared among those adventurers who had previously worked arm-in-arm. The latecomers or weak, limited to wandering the upper levels of the cave, could only watch as the veteran adventurers brought treasure after treasure from the deep. They began harboring dark thoughts as they watched the veteran adventurers grow arrogant from their largesse, ordering people around, hoarding secrets from the rest. The place became a festering pool of suspicions and greed, mired in jealous rage. ,It started with an adventurer disappearing in the cave. Rumors circulated he had found some legendary treasure and hoarded it for himself. Others said he had been guided to another world by some mysterious magic force in the cave. Still the unspoken belief was that he had been murdered by a rival party and was buried somewhere beneath the caverns. Nobody knows exactly what happened, but people have continued to disappear ever since. As more people have gone missing, some adventurers have called it quits, others cling to hope, and a few continue to wait and see. Which brings us to you, an ordinary young man, coming into this extraordinary circumstance with purposes unknown to others. May you find what you seek in ...,--------------------------------------------------------,In ""The Greedy Cave"", you are a brave adventurer tasked with exploring a mysterious cave and battling all kinds of monsters.,Use your wits to defeat them, learn different skills, gain mighty equipment, challenge evil monster bosses, and decipher the mysterious surrounding this cave...,Game Features,·Randomly generated cave levels provide a different game experience every time!                     ,·Hundreds of monsters to defeat!,·Hundreds of equipments to collect!,·Hundreds of quests and achievements to conquer!,·Enchant/Reform/Level up/Gold collecting, and more abundant systems to explore!,Contact us,bd@avalongames.com.cn,https://www.facebook.com/greedycave/",,,"  100,000 - 500,000  ",1-Apr-16, 1.0.4  , 57M  ,,"7,333",4.2,The Greedy Cave
      4.0.3 and up    ,Casual,"You’re invited to a magical candy party filled with chocolate, crazy candy and amazingly sweet activities! Make your own fudge chocolate, dress-up in sweet & stylish outfits , create adorable candy animals & so much more! Design your own Gingerbread House! Enter the competition & see if your house wins first place! ,Are you ready for the sweetest fudge party you will ever experience? Mix crazy-cool candy combinations (let your imagination run wild!), make your own candy creatures & plant candy trees in the garden! You can even care for candy-covered patients at the Chocolate Candy Clinic… now that’s SWEET! Let’s party! ,Deliciously Fun Features:,> Design your own super sweet candy animal from head to toe!,> Dress a candy character of your choice and vote for the best-dressed character!,> Build a beautiful gingerbread house and vote for the prettiest one!,> Help care for kids who had crazy candy & fudge accidents! It’s all up to you! ,> Make your own hilarious lollipops! Choose from tons of flavors & decorations! ,> Plant candy trees, care for them and enjoy eating the delicious candies that grow!,> Make, shape and decorate delicious chocolates! Wrap them in sweet boxes too! ,ABOUT TabTale ,A Google Play Top Developer, recognized for its commitment to launching high-quality and innovative apps on Android, TabTale lovingly produces games, interactive e-books, and educational experiences. With over 850 million downloads and growing, TabTale has established itself as the creator of pioneering virtual adventures that kids and parents love. TabTale’s apps spark children’s imaginations and inspire them to think creatively, while having fun! Search “TabTale” on Google Play and discover more incredible apps. ,Visit us: ,http://www.tabtale.com/, ,Google Plus: ,https://plus.google.com/+Tabtale/posts, ,Like us: ,http://www.facebook.com/TabTale,Follow us:@TabTale,Watch us: ,http://www.youtube.com/Tabtale,CONTACT US ,Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com.,IMPORTANT MESSAGE FOR PARENTS: ,* This App is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on your device.,* By downloading this App you agree to TabTale’s Privacy Policy and Terms of Use at ,http://tabtale.com/privacy-policy/, and at ,http://tabtale.com/terms-of-use/,.,Please consider that this App may include third parties services for limited legally permissible purposes",,,"  100,000 - 500,000  ",8-Mar-16, 1.0.1  , 53M  ,Top Developer,"2,694",3.7,Chocolate Candy Party
      4.0 and up    ,Action & Adventure,"WELCOME TO THE MOST MAGICAL PLACE ON MOBILE!,When Maleficent casts an evil spell on the Kingdom, ridding it of all of its powerful magic, can you help bring it all back? Relive the thrill of Disney Parks and create the most fantastical Park of your dreams in Disney Magic Kingdoms!,EXTRAORDINARY & TIMELESS DISNEY PARK ATTRACTIONS,• Charming attractions such as ""it's a small world,"" the Monsters, Inc. Laugh Floor and Space Mountain from Disney Parks from around the world, including Disneyland, California Adventure, Walt Disney World, Tokyo Disneyland and Disneyland Paris!,• Dazzling new attractions such as WALL-E’s House and Cyclops Sushi -- all uniquely inspired by their movies!,• Relive magical moments from the Parks with the entire family through lively Parades featuring beautiful floats and fireworks!,CHARACTERS SPANNING MORE THAN 90 YEARS OF DISNEY,• Share spectacular moments with beloved characters such as the ever-optimistic Mickey Mouse, the spirited princess Rapunzel, brave space ranger Buzz Lightyear, the sweet and sassy Tinker Bell and more fun characters!,• Play hundreds of whimsical, fun, and animated quests that bring every pixel of your Kingdom to life!,• Collect memorable Disney-themed items to free each character from Maleficent's evil spell!,PLAY A RIVETING TALE OF HEROES AND VILLAINS,• Unravel and play a magical story and an exciting adventure with every tap!,• Take a stand against menacing villains such as Pete, Mother Gothel, and Zurg to save the Kingdom!,Come and join us in the most magical free game on mobile! It’s your world for the making!,Perfect to play for fans of Disney, Disneyland, theme park games, Pixar movie games, a fun game, tycoon games, free family games, and park builder games.,___,You can download and play this game for free. Please be informed that it also allows you to play using virtual currency, which can be acquired as you progress through the game, or by deciding to watch certain advertisements, or by paying with real money. Purchases of virtual currency using real money are performed using a credit card, or other form of payment associated with your account, and are activated when you input your Google Play account password, without the need to re-enter your credit card number or PIN. ,In-app purchases can be restricted by adjusting the authentication settings within your Play Store settings (Google Play Store Home > Settings > Require authentication for purchases) and setting up a password for each purchase / Every 30 minutes or Never. ,Disabling password protection may result in unauthorized purchases. We strongly encourage you to keep password protection turned on if you have children or if others could have access to your device.,This game contains advertising for Gameloft’s products or some third parties which will redirect you to a third-party site. You can disable your device’s ad identifier being used for interest-based advertising in the settings menu of your device. This option can be found in the Settings app > Accounts (Personal) > Google > Ads (Settings and Privacy) > Opt out of interest-based ads.,Certain aspects of this game will require the player to connect to the Internet. ,_____________________________________________,Visit the official Gameloft site at ,http://www.gameloft.com,Follow Gameloft on Twitter at ,http://glft.co/GameloftonTwitter, or like us on Facebook at ,http://facebook.com/Gameloft, to get more info about all upcoming Gameloft titles.,Check out our videos and game trailers on ,http://www.youtube.com/Gameloft,Discover our blog at ,http://glft.co/Gameloft_Official_Blog, for the inside scoop on everything Gameloft.,Terms of Use: ,http://www.gameloft.com/conditions/,Privacy Policy: ,http://www.gameloft.com/privacy-notice/,End-User License Agreement: ,http://www.gameloft.com/eula/?lang=en",,,"  1,000,000 - 5,000,000  ",17-Mar-16, 1.0.6e  , 84M  ,Top Developer,"61,205",4.1,Disney Magic Kingdoms
      2.3.3 and up    ,Creativity,"Who says school is all about uniforms? Let's rock out to your favorite clothes and get to school in style!,What kind of senior life do you like? Courses, balls, parties, sports games, travels, concerts and so much more... You know what, different occasions require entirely different outfits. And, did you hear the news? A new fashion shop has come into being for high school girls, and the consultant is our Blair who is a true styling expert. Let's guess who will be her first guest. Is it someone around you? Now, let's start out before senior life comes!,How to Play:,Have you ever dreamed of running a boutique? Open the game, and you'll see one. Look~ Several girls are waiting for styling advices. Tap them and they'll tell you their needs. Okay, have you noticed words at the top of the screen? Keep them in mind and help the guests find perfect styles from head to toe. All right, tap the OK button and one guest will be served. With stars awarded, tap the decoration button at the lower right corner to exchange for extra items. Sweetie, Blair is talented, but she still needs learning to make her styling advices flaunt the latest fashion. Tap the bookshelf and do her a favor in learning. Various skills and titles will be granted. Let's give it a whirl in the World Styling Contest. Oh, a warm tip, gifts are hidden throughout the game, why not become a part of us and find out?,Features:,- Immerse yourself in a galaxy of clothes and accessories,- Take part in the hottest World Styling Contest,- Make the room unique with dozens of decorations,- Enjoy the fun of titles and skills system,- Get extra joy out of a bundle of gifts,About Libii Game:,With over 400 million downloads and growing, Libii is committed to creating innovative games for kids. We'll keep working on establishing a good relationship with both parents and their children and bringing a healthy, happy atmosphere for them.,Visit us: ,http://www.libii.com/,Like us: ,http://www.facebook.com/LibiiGame,Contact us:,Got any ideas? Suggestions? Need technical support? Please feel free to contact us 24/7 at ,WeCare@libii.com,Need You Know:,This app is totally free to download and play, some basic items are also free to use, but some additional items need you to purchase and pay to unlock. Therefore, if you do not want to use these items, please turn off the in-app purchase in your settings. Thanks.",,,"  100,000 - 500,000  ",15-Mar-16,1, 82M  ,,"3,622",4.2,Blair's School Boutique
      4.0 and up    ,Education,">> The best, most popular and kids all-time favorite cleaning game Sweet Baby Girl Cleanup now with new super fun clean up and home makeover activities!,>> Play messy house makeover, clean up pony stables and doghouse, and get ready for a super cool BBQ pool party!,Sweet Baby Girl and her friends are in the Dream House waiting for you to join their super fun spring cleaning spree and home makeover party! Messy kitchen, bedroom, bathroom, laundry room, car, swimming pool, water slide, barbecue grill, fridge, pony stables, doghouse, tree house and fence need your care and attention. Get ready to clean up, vacuum, wash, bath, mop, wipe, scrub, fix and more!,Sweet Baby Girl Cleanup 4 is here to help kids learn how to clean up, do their daily chores, build good habits, keep their clothes, toys and things tidy, take care of their pets and help parents at home. With every good work in the game, kids will be rewarded with compliments for their efforts and earn coins. Kids can use coins to unlock new toys, game items and activities inside the game!,**Game Features**,Clean up Sweet Baby Girl Dream House:,· Wash dishes and tidy up the KITCHEN!,· Scrub the tub, sink, toilet and floor in the BATHROOM!,· Put things to their places, clean the window, wipe the dust and vacuum the floor in the BEDROOM!,· Take care of dirty clothes in the LAUNDRY ROOM: sort, wash, dry and iron!,· Clean up in the GARAGE: wash and polish the car, collect trash and clean the inside of the car!,Help Sweet Baby Girl prepare for a super fun pool party and BBQ:,· Clean the SWIMMING POOL: skim tree leaves with a net, clean the water with pool vacuum and fix the broken tiles!,· Wash, clean up, fix and color the old WATER SLIDE and have tons of water slide fun with Sweet Baby Girl!,· Makeover the outdoor FRIDGE: throw away old food and meals, scrub and shine the fridge, then fill it with fresh fruits, vegetables and groceries!,· Get ready for a BBQ party: scrape and scrub the grill, prepare it for cooking and make the best burgers for Sweet Baby Girl and her friends!,Take care of Sweet Baby Girl pets and tree house:,· Clean up spider webs and dirt in the PONY STABLES, wash, groom and shower the cutest little pet pony, and play with him in the yard!,· Make Sweet Baby Girl pet puppy happy: clean up, decorate, fix and color the DOGHOUSE, then feed, style and dress up the puppy!,· Collect trash, vacuum the floor, repair the bean bag and wipe the table in the TREEHOUSE!,· Mend, paint white and decorate the tree house FENCE with your favorite decorations!,Play every day, get extra coins and collect gifts:,· Watch short videos for kids in the MOVIE THEATER and get 200 coins!,· Use your coins to unlock new toys in the TOY SHOP!,· Unlock new levels and collect stickers in your own STICKER BOOK!,- - -,ABOUT TutoTOONS Games for Kids,Crafted and play-tested with kids and toddlers, TutoTOONS games cherish the childhood and help children learn the basic life skills through games they really love.,Dress up games can develop creativity and art skills, cleanup games build good every day habits, cooking games show how to help parents at home, pet games teach to share and care. These are just a few examples how TutoTOONS games let children explore the world around them and develop on their screen time.,Discover more fun with TutoTOONS!,Play our games: ,http://tutotoons.com/games,Follow us on Twitter: ,https://twitter.com/TutoTOONSGames,Like us on Facebook: ,https://www.facebook.com/tutotoonsgames,Follow us on Instagram: ,https://instagram.com/tutotoons/,Meet us on Google+: ,https://plus.google.com/+Tutotoonsgames,Get our newsletter: ,http://ow.ly/HlYbn",,,  1 - 5  ,31-Mar-16, 1.0.6  , 79M  ,,274,3.9,Sweet Baby Girl Cleanup 4
      3.0 and up    ,Arcade,"You have so many delicious milkshakes! Slide them along the bar, but don't let them fall!,- Over 125 sweet levels,- Stunning shakes to unlock,- Delicious recipes,- Interesting milkshake facts,- Shakes are awesome!",,,"  1,000 - 5,000  ",28-Mar-16,1.1, 25M  ,,"1,192",4.3,Slide the Shakes
      4.1 and up    ,Strategy,"Knuckle Sam needs YOU - download now to reclaim the nation! ,Take command of a convoy of deadly fighting vehicles, as you hit the road with the legendary Knuckle Sam and his band of Runners. Under the banner of Sam's Winterstate you’ll build a powerful force, repel the raiders and take the fight back to The Code - a mysterious, deadly threat emerging from the West. ,PLEASE NOTE: Winterstate is free to download and play. However, some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases in your device's settings.,- ENTER the living, breathing Winterstate, a frozen wasteland once known as the USA ,- FIGHT the flaming insanity of The Burners, and the cold oppressive logic of The Code ,- PICK the right wheels for the job: recon, armored, artillery and assault vehicles await your command ,- MAX your firepower with flamethrowers, seeking missiles, air strikes, magnetic mines and much more,- RAID thousands of players from all over the world,- DRAW and execute your attack plans in gorgeous real-time 3D battles ,- MAN your convoy with unique drivers to max speed, range, rate of fire and damage ,- TRADE precious goods like cows and spare parts between frozen cities and outposts,Under our Terms of Service and Privacy Policy, Winterstate is allowed for download and play only for persons 13 years or over of age without parental consent. ,Note: A network connection is required to play. ,Privacy Policy: ,http://www.playraven.com/privacy-policy, ,Terms of Service: ,http://www.playraven.com/terms-of-service",,,"  50,000 - 100,000  ",23-Mar-16, 1.5.2  , 93M  ,,"1,733",3.8,Winterstate
      4.0.3 and up    ,Adventure,"Are YOU the next IT GIRL?! Be the girl EVERYONE is talking about! ,Take over the fashion world with your superstar style, awesome modeling and acting skills and overall COOLNESS! Dress up in the most fashionable outfits and surprise everyone with your glam and glitz! ,⋆ SHOW OFF YOUR STYLE and dress up in hundreds of trendy outfits from the hottest new shops in the mall! ,⋆ SHINE LIKE A STAR – get invited to all the best parties! Everyone wants an interview with you, IT GIRL! ,⋆ MAKEOVER TIME - choose from tons of makeup items like blush, glittery eyeshadow, a variety of lipstick colors and more!,⋆ TAKE OVER THE FASHION WORLD as a cover model, fashionista, celebrity and more! Dress up in celebrity inspired outfits and flaunt them on the red carpet!  ,⋆ SHOP TILL YOU DROP – collect coins to earn fashion items and buy new clothes and dress up!,ABOUT US,Crazy Labs is a casual games brand, under which TabTale develops and publishes fun and addictive games. Crazy Labs partners with independent development studios across the globe to create engaging mobile content for audiences of all ages. ,Like us: ,https://www.facebook.com/crazylabsgames,Watch us: ,http://www.youtube.com/iTabtale,Visit us: ,http://tabtale.com/,Follow us:@CrazyLabsGames,Google Plus: ,https://plus.google.com/+Tabtale/posts, ,CONTACT US ,Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at Talk2Us@Crazy-Labs.com.,PRIVACY: ,* This App is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on your device.,* By downloading this App you agree to TabTale’s Privacy Policy and Terms of Use at ,http://tabtale.com/privacy-policy/, and at ,http://tabtale.com/terms-of-use/,.,This App may include third parties services, such as ad networks and analytics, and may contain social media links that allow users communicate with others. Collection and use of data are subject to TabTale's Privacy Policy.",,,"  100,000 - 500,000  ",30-Mar-16,1.894, 238M  ,Top Developer,"8,657",4,It Girl!
      4.1 and up    ,Role Playing,"All I remember is that night... The dark dragon has closed the gate to the sun. And light vanished. All living creatures became dark... Only carrying what's left behind... the eternal pain.,In the darkness that has lost light… True dark action begins.,▪ Side scrolling hack and slash RPG,▪ Stylish dark fantasy graphics,▪ System for farming and strengthening different weapons,▪ Over 100 stages and monsters,▪ Hardcore mode for the fearless,You must overcome the eternal darkness and defeat the Dark Dragon.,May the light shine upon you!,Official Community,https://game.nanoo.so/darksword,Support,https://game.nanoo.so/darksword/customer",,,"  100,000 - 500,000  ",28-Mar-16, 1.1.01  , 49M  ,,"14,956",4.4,Dark Sword
