operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      4.0.3 and up    ,Strategy,"Enter the Arena! From the creators of Clash of Clans comes a real-time multiplayer game starring the Royales, your favorite Clash characters and much, much more.,Collect and upgrade dozens of cards featuring the Clash of Clans troops, spells and defenses you know and love, as well as the Royales: Princes, Knights, Baby Dragons and more. Knock the enemy King and Princesses from their towers to defeat your opponents and win Trophies, Crowns and glory in the Arena. Form a Clan to share cards and build your very own battle community.,Lead the Clash Royale Family to victory!,PLEASE NOTE! Clash Royale is free to download and play, however, some game items can also be purchased for real money.If you do not want to use this feature, please set up password protection for purchases in the settings of your Google Play Store app. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash Royale.,A network connection is also required.,FEATURES,● Duel players from around the world in real-time and take their Trophies,● Earn chests to unlock rewards, collect powerful new cards and upgrade existing ones,● Destroy opponent’s towers and win Crowns to earn epic Crown chests,● Build and upgrade your card collection with the Clash Royale Family along with dozens of your favorite Clash troops, spells and defenses,● Construct your ultimate Battle Deck to defeat your opponents,● Progress through multiple Arenas all the way to the top,● Form a Clan to share cards and build your very own battle community,● Challenge your Clanmates and friends to a private duel,● Learn different battle tactics by watching the best duels on TV Royale,Support,Are you having problems? Visit ,http://supercell.helpshift.com/a/clash-royale/, or ,http://supr.cl/ClashRoyaleForum, or contact us in game by going to Settings > Help and Support.,Privacy Policy: ,http://supercell.com/en/privacy-policy/,Terms of Service:,http://supercell.com/en/terms-of-service/,Parent’s Guide:,http://supercell.com/en/parents/",,,"  10,000,000 - 50,000,000  ",2-Mar-16, 1.2.3  , 87M  ,Top Developer,"2,337,169",4.5,Clash Royale
      2.3.3 and up    ,Casino,"Get ready to play Wild Deluxe Slots machine free! One of the most massive multiplier games around!,Wild Deluxe Slots Machine Free is easy to play and offers large jackpots up to $250,000 as well as bonus games. Whether you like penny slots or multi pay-line slot machines this game is for you. While Triple 100X pay slot machine has loose slots it's not easy to get to the top of the leaderboard. Compete against all the app users for the top spot on the leaderboard daily and all time.,Amazing Features:,• Bonuses awarded frequently,• Three wild multipliers - with one combination over 300 TIMES PAY!!!,• Bonus games such as Match 3 game"" with great rewards,• Authentic Vegas feel,• Big Jackpots,• Realistic sounds,• 3 hour bonuses offering double credits and more",,,"  10,000 - 50,000  ",8-Mar-16,1, 14M  ,,58,4.2,Double Wild Slots
      2.2 and up    ,Adventure,It is time for some fun. You are about to control the actions of the featured stickman character in the game who is in the prison. His ultimate goal is to escape the prison.,,,"  100,000 - 500,000  ",2-Mar-16,1, 8.0M  ,,"1,097",3.9,Stick Escape - Adventure Game
      2.3.3 and up    ,Music,"FNAF Soundboard for you ! If you Love Five Nights at Freddy's World, Scare Your Friends for fun and Joke !,This app is not created by the creator of Five night's at freddy's, nor is it affiliated, or supported by them at all.,FNAF soundboard for you! If you Love Five Nights at Freddy's World, Scare Your Friends for fun and Joke!,This app is not created by the creator of Five night's at freddy's, nor is it affiliated, or supported by them at all.",,,"  10,000 - 50,000  ",12-Mar-16,2, 15M  ,,342,4.1,FNAF Soundboard
      4.0 and up    ,Education,"Make and decorate wonderful cakes with Grandma using real recipes! Play in the kitchen and learn how to create an ANGEL CAKE, an APPLE PIE, a SACHERTORTE (chocolate cake) and a big WEDDING CAKE for a special event!,Dress up Grandma with your favorite chef clothes and play the cake of fortune to unlock new outfits!,GAME FEATURES,Cakes:,- Pick your favorite cake: Angel Cake, Wedding Cake, Sachertorte or Apple Pie.,- Put ingredients in the cart.,- Follow the recipe on the blackboard.,- Mix ingredients.,- Use kitchen tools to mix the dough, cut the butter, peel the fruit, make a whipped cream, make the pastry cream, & much more!,- Put the cake in the oven & bake it.,- Decorate the cake & see the result! ,Play the Cake of Fortune,Catch and collect all slices of the green cake and earn more coins. Complete all three levels!,Dress up Grandma,Choose from chef dresses, glasses, hats and shoes and dress up grandma with your favorite style. Take a picture and play again!,Grandma's Cakes is a beautiful cooking game for kids, toddlers and parents with real recipes inside. Choose your favorite cake or pie and make it at home with your family!",,,"  10,000 - 50,000  ",17-Mar-16, 1.0.1  , 32M  ,,234,3.9,Grandma's Cakes
      4.0.3 and up    ,Arcade,"Time for a Fishing Break!,Get on your boat and go on a fishing trip all around the world. Catch big rare fish, upgrade your gear, and build your collection!,Try it and get hooked :),Features:,Simple to play yet offers a nice challenge,Leaderboards for each fish to compete against your friends and the world,Achievements based on dubious puns,22 fishing spots in 8 gorgeous worlds,Hundreds of different fish (including sharks, wait until you see it!),Over 200 special elemental fish (light, dark, grass, electric, fire and ice!),Hours of relaxing fishing fun,Please share the game with your friends and rate it in the store!,Please get in touch with us if you experience any issue through the “Support” feature in the options menu or at the following email: ,support@roofdog.ca,You can also send us bad fish puns and we'll probably add achievements based on them :p",,,"  50,000 - 100,000  ",15-Mar-16, 1.1.5.36  , 65M  ,Top Developer,"2,983",4.4,Fishing Break
      4.0.3 and up    ,Adventure,"◆ One tap takes you on a magnificent world journey! An exhilirating aerial game!,▼ About the Game,Leap across countries and travel as far as you can!,Become the Piece that connects the world.,▼ How to play,Playing is simple.,One tap gravitates the character.,By timing your release, you can leap and soar through the sky!,▼ Compete with players throughout the world and win bragging rights!,Keep track of worldwide players and their scores at the Game Center!,▼ Assemble cheerleaders to root you on.,Connect with the world!  See the world!,The farther you go, the more people you'll gather to support you.,Use your finesse to soar far and wide!",,,"  100,000 - 500,000  ",2-Mar-16, 1.0.5  , 36M  ,,"3,602",3.4,WORLD PIECE
      4.0.3 and up    ,Music,"FEATURES,1. Daily Music: we pick a song in good quality daily for everyone to play and listen, enjoy!,2. WeMusic Best Songs: The best songs are ranked based on the popularity in WeMusic! platform. They are ranked to ""weekly"", ""monthly"" and ""All (Time)"" categories.,3. WeMusic Best Plays: If you play well enough, the play would be recorded into WeMusic ranking system for players' watching and listening. You play would rank higher if it gained higher score and more likes.,4. My Starred Songs: It is the place where you can easily access your favourite songs. You can even listen to them as a play list.,5. Instrument change for melody: You can change a melody instrument for a song to play. This feature could inspire your musical sense.,HOW TO PLAY,- Following the falling ball, when it reaches near the ""Benchmark line with five colours"", just simply tapping on it to activate/play the corresponding note. ,- It is tough when the balls fall intensively in ""BAND COMPETE"" mode. You need to follow the rhythm of the music to cope with that.,VIP PASS SUBSCRIPTION,- You can subscribe for VIP pass to take advantages of following privileges for the duration of your subscription:,> Unlimited slots to star and listen to tons of songs!,> Unlimited access to all 100+ instruments!,> No play restrictions for tons of songs!,> 3 survival chances every day!,> Ads removal,SUPPORT,If you have any question regarding app issues, general feedback, and feature enhancement requests, please email: ,wsw.aus@gmail.com, to get supported. Or you can find us via facebook page: ,https://www.facebook.com/wemusicapp",,,"  5,000 - 10,000  ",13-Mar-16, 1.0.5  , 43M  ,,41,3.5,WeMusic!
      4.0.3 and up    ,Casual,"Candy Block Monster is an amazing block puzzle game with a simple rule. But it's really a distinctive block puzzle game.,Challenge to hit highest score with your friends and to be on top of the leaderboard.",,,"  10,000 - 50,000  ",11-Mar-16,3, 13M  ,,42,3.8,Candy Block Monster
      4.1 and up    ,Arcade,"How to play:,1. Pop handbrake,2. Park car,3. Don't crash!",,,"  10,000 - 50,000  ",6-Mar-16,1, 24M  ,,743,4.2,Handbrake Valet
