operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      2.3 and up    ,Racing,Become a truck driver in this exciting new truck simulation game. Get in your truck and deliver cargo to your destination.,,,"  100,000 - 500,000  ",17-Feb-16,1, 30M  ,,"5,237",3.9,Truck Driver Cargo
      4.0.3 and up    ,Racing,"Whether you know how to drift or not, you’ll enjoy sliding sideways around the corners to compete for the highest score.,WHAT PEOPLE ARE SAYING,“Your car is tuned for MAXIMUM DRIFTING ACTION. It's fun!” Toucharcade,“The best drifting game I’ve played” Ken(neth) Block, Ohio,“I want nothing to do with this game. Stop contacting me” : Jeremy Clarkson,WHY PLAY THUMB DRIFT?,- Over 50 fully unlicenced cars to unlock + more to come,- Simple one thumb controls,- Addictive drifting gameplay,- Original soundtrack with 4 pumping tunes,- Challenge your friends for the top score,- Cutting edge, flat shaded, low poly graphics,- Groundbreaking Carticle™ Technology,Got a car we should add to the livery? Get in touch!,SPECIAL GUEST CARS!,- Zen Garage,- Car Throttle,- Domestic Mango,- Street Driven,- Bulletproof Automotive,- King of Nations,- Yasid Design,- Shock Mansion,- Drift All Stars,More to come! ,SCORE REGISTER,* 0-50: L plater,* 51-99: Sunday Driver,* 100-199: Training Wheels,* 200-299: Gettin’ Sideways,* 300-399: You feel the need for speed,* 400-499: You’re in the red,* 500-599: Flat out!,* 600+: You live your life a quarter mile at a time! Dom will be proud,“If you’re in control, you’re not going fast enough.” : Parnelli Jones",,,  100 - 500  ,2-Mar-16, 1.0.3.194  , 63M  ,Top Developer,"1,517",4.4,Thumb Drift - Furious Racing
      2.3 and up    ,Action,"Welcome to The Grand Auto! This game is a real simulator of criminal life in a vice and evil city. ,Even the most experienced shooters occur misfire. The same thing happened with Jake. Invisible man, which happened will become a crime witness, Jake was behind bars. This story is about a guy who is back in town and eager to regain his place in this city. ,You will have to start his career as usual megatramp, whose name is Jake. The hero just escaped from prison and wants revenge. During the game you have to go through difficult career, do a lot of missions. You have to steal cars and motorcycles, organize mass robbery, contract killings perform, participate in fights and shootings. ,You will be able to build an empire, create your clan of gangsters and become a real godfather in his city. Control the everything that happens with your criminal business, such as theft, robbery and gang clashes ,Features The Grand Auto: ,- Absolutely new, revolutionary physics ,- Third person gameplay: car stealing, man shooting and driving are all for you, with the most powerful 3D engine ,- Realistic graphics, previously not seen on smartphones ,- Unique storyline ,- Unique Mission ,- A game where intertwined action, shooter, business-farm, strategy ,- Endless space for police actions: hit and run, car stealing, police firefight and even more ,- A huge number of jobs and professions: from taxi driver to professional assassin ,- Addictive gameplay ,- Best Cars ,- Comprehensive car tuning: colors, spares, drives and every part you can imagine ,- Huge open world ,- Ability to conduct their business ,Go on! Help Jake to become the Godfather of American Gangs and car thieves king! The Grand Auto is your choice!",,,"  10,000 - 50,000  ",5-Mar-16, 1.1.1  , 84M  ,,501,4,The Grand Auto
      4.0.3 and up    ,Strategy,"Enter the Arena! From the creators of Clash of Clans comes a real-time multiplayer game starring the Royales, your favorite Clash characters and much, much more.,Collect and upgrade dozens of cards featuring the Clash of Clans troops, spells and defenses you know and love, as well as the Royales: Princes, Knights, Baby Dragons and more. Knock the enemy King and Princesses from their towers to defeat your opponents and win Trophies, Crowns and glory in the Arena. Form a Clan to share cards and build your very own battle community.,Lead the Clash Royale Family to victory!,PLEASE NOTE! Clash Royale is free to download and play, however, some game items can also be purchased for real money.If you do not want to use this feature, please set up password protection for purchases in the settings of your Google Play Store app. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash Royale.,A network connection is also required.,FEATURES,● Duel players from around the world in real-time and take their Trophies,● Earn chests to unlock rewards, collect powerful new cards and upgrade existing ones,● Destroy opponent’s towers and win Crowns to earn epic Crown chests,● Build and upgrade your card collection with the Clash Royale Family along with dozens of your favorite Clash troops, spells and defenses,● Construct your ultimate Battle Deck to defeat your opponents,● Progress through multiple Arenas all the way to the top,● Form a Clan to share cards and build your very own battle community,● Challenge your Clanmates and friends to a private duel,● Learn different battle tactics by watching the best duels on TV Royale,Support,Are you having problems? Visit ,http://supercell.helpshift.com/a/clash-royale/, or ,http://supr.cl/ClashRoyaleForum, or contact us in game by going to Settings > Help and Support.,Privacy Policy: ,http://supercell.com/en/privacy-policy/,Terms of Service:,http://supercell.com/en/terms-of-service/,Parent’s Guide:,http://supercell.com/en/parents/",,,"  100,000 - 500,000  ",2-Mar-16, 1.2.3  , 87M  ,Top Developer,"1,103,323",4.6,Clash Royale
      4.2 and up    ,Strategy,"Saddle up, it’s time for a showdown! Join your friends in battle on the western frontier, build and protect your town, collect cards and build your posse of wild west gunslingers.,..::: NEW! Bring your cattle home! Join a posse with your friends and take down cattle thieves in weekly events. :::..,“A big dusty thumbs-up” - Gamezebo,“A neat, western take on town building and defense” - 148Apps,“The card twist on raiding strategy games is a neat one” - Toucharcade,..::: Game Features :::..,*** BATTLE Wild West outlaws and other players,*** COLLECT cards and build a tough band of heroes ,*** JOIN a posse with your friends and take down cattle thieves together in weekly events,*** BUILD and protect your own thriving western town,*** CHOOSE your way to play - horizontally or vertically,Your help is needed to grow and protect a brand spankin’ new western town on the edge of the frontier. Explore the open frontier as you free other towns from the corrupt outlaws of Orville Driller’s evil oil empire! ,Build and run your own Wild West outpost alongside the town Sheriff and recruit trusty sidekicks to protect it. Summon your friends, form a posse and take down cattle thieves in weekly events. ,Don’t let Orville Driller get their filthy hands on all that black gold flowing beneath your lands or the cattle thieves take your cows and horses.,Facebook - facebook.com/compasspointwest,Twitter - twitter.com/compassptwest,Youtube - youtube.com/nxtgms",,,"  10,000 - 50,000  ",1-Mar-16, 2.0.0.3  , 53M  ,Top Developer,"4,221",4.4,Compass Point: West
      4.1 and up    ,Casual,"In Diner Dynasty you begin in your own kitchen, making and selling breakfasts, pizzas, and ice cream sundaes. Tap to sell meals and earn money. Keep tapping to sell more. When you’ve made enough money, you can buy your very own diner! Keep playing and keep tapping to build out your Diner Dynasty with food trucks, 5 star restaurants and more!,Diner Dynasty is endless hours of delicious fun!,Diner Dynasty features:,• Easy and accessible pick up and play gameplay,• Boosts, shares and upgrades bring in more profits for your diner,• A spinning Profit Wheel to multiply your income,• New diner locations to purchase and expand your empire,• Increasing profits even while offline!,We love to hear from our players! On Twitter? Drop us a line @PikPokGames and join the conversation with #DinerDynasty,Diner Dynasty is free to play but offers in-app purchases.",,,"  1,000 - 5,000  ",1-Mar-16, 1.0.0  , 38M  ,Top Developer,882,3.3,Diner Dynasty
      4.0.3 and up    ,Casual,"Join the Pop Girls - the coolest high school band - on their biggest tour ever! ,Design the stage, paint the tour bus, dress up the band in the hottest outfits & more! ,Be a superstar! Perform on stage and make awesome music with the Pop Girls! ,Have you heard the news? The Pop Girls are coming to a high school near you! Help this pop star band prepare for their big show ever!. Style them in the most chic outfits & make them look GLAM! You can even vote for your favorite Pop Girl Band in the Dress Up Competition! Watch out pop divas, the Pop Girls are here!  ,Features:,> Perform on stage with the Pop Girls - just like a real pop star! ,> Glam up the Pop Girls with blush, eye makeup, tattoos & more! ,> Dress up the Pop Girls in the most stylish outfits and accessories! ,> Vote for the best dressed high school band in the Dress Up Competition! ,> Treat the injured Pop Girls in the doctor's clinic - gotta feel good to perform!,> Decorate your band's poster and logo! Paint the tour bus too! ,> Design the stage for your big show - choose the lights, speakers & curtains!,> Tune your instruments and make sure they are ready to play!,> Give your favorite high school fans a makeover - help them look their best!,ABOUT TabTale ,A Google Play Top Developer, recognized for its commitment to launching high-quality and innovative apps on Android, TabTale lovingly produces games, interactive e-books, and educational experiences. With over 850 million downloads and growing, TabTale has established itself as the creator of pioneering virtual adventures that kids and parents love. TabTale’s apps spark children’s imaginations and inspire them to think creatively, while having fun! Search “TabTale” on Google Play and discover more incredible apps. ,Visit us: ,http://www.tabtale.com/, ,Google Plus: ,https://plus.google.com/+Tabtale/posts, ,Like us: ,http://www.facebook.com/TabTale,Follow us:@TabTale,Watch us: ,http://www.youtube.com/Tabtale,CONTACT US ,Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com.,IMPORTANT MESSAGE FOR PARENTS: ,* This App is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on your device.,* By downloading this App you agree to TabTale’s Privacy Policy and Terms of Use at ,http://tabtale.com/privacy-policy/, and at ,http://tabtale.com/terms-of-use/,.,Please consider that this App may include third parties services for limited legally permissible purposes.",,,"  500,000 - 1,000,000  ",16-Feb-16, 1.0.0  , 50M  ,Top Developer,"4,229",3.7,Pop Girls - High School Band
      2.1 and up    ,Arcade,"Prepare for a near impossible challenge in Zigzag Crossing now! Push your skills to the limit as you cross your way through dangerous passages and deadly obstacles.,Stay alive on the road as long as you can and cross as many zigzags as possible. Do not slow down. Do not fall off. Do not give up!,How to Play:,- Tap on the left screen to jump left ,- Tap on the right screen to jump right.,- Try to rescue the elves trapped in the cages,Game Features:,- Simple color schemes designed,- 20+ lovely characters to unlock and switch,- 5 beautiful worlds to explore: grass lands, desert stacks, mountains, volcanoes, and dungeons",,,  1 - 5  ,3-Mar-16, 1.0.1  , 8.2M  ,Top Developer,914,3.9,Zigzag Crossing
      2.3.3 and up    ,Simulation,"Chose from a variety of stunt and race bikes to jump, slide, smash and ride your way though the massive open world. Pick up stunts and NO2 along the way and get some crazy air!,!! AVAILABLE TO DOWNLOAD FOR FREE !!,Extreme Bike Race Driving brings the most realistic bike driving physics with the most epic of environments to race super fast motorbikes.,Here are some cool new features in this game:,- Amazingly massive world environments, filled full of insane stunts to try! ,- Realistic motorbike controls,- Huge city, offroad, airport maps!,- Realistic camera angles,- Gain supercharged nitro boost by collecting NOZ bottles, collect more to unlock more bikes!,- Dynamic lights and sounds,- Incredible motorbikes to ride, each bike unique with style, looks and skills!,- Advanced motorbike driving physics engine designed especially for bikes.",,,"  50,000 - 100,000  ",17-Feb-16,1.06, 37M  ,,277,3.8,Extreme Bike Race Driving
      2.2 and up    ,Casual,Slice the Pizza is a free and challenging puzzle game,,,"  50,000 - 100,000  ",16-Feb-16,1, 3.0M  ,,"6,007",4.1,Slice the Pizza
