operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      4.0.3 and up    ,Strategy,"Enter the Arena! From the creators of Clash of Clans comes a real-time multiplayer game starring the Royales, your favorite Clash characters and much, much more.,Collect and upgrade dozens of cards featuring the Clash of Clans troops, spells and defenses you know and love, as well as the Royales: Princes, Knights, Baby Dragons and more. Knock the enemy King and Princesses from their towers to defeat your opponents and win Trophies, Crowns and glory in the Arena. Form a Clan to share cards and build your very own battle community.,Lead the Clash Royale Family to victory!,PLEASE NOTE! Clash Royale is free to download and play, however, some game items can also be purchased for real money.If you do not want to use this feature, please set up password protection for purchases in the settings of your Google Play Store app. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash Royale.,A network connection is also required.,FEATURES,● Duel players from around the world in real-time and take their Trophies,● Earn chests to unlock rewards, collect powerful new cards and upgrade existing ones,● Destroy opponent’s towers and win Crowns to earn epic Crown chests,● Build and upgrade your card collection with the Clash Royale Family along with dozens of your favorite Clash troops, spells and defenses,● Construct your ultimate Battle Deck to defeat your opponents,● Progress through multiple Arenas all the way to the top,● Form a Clan to share cards and build your very own battle community,● Challenge your Clanmates and friends to a private duel,● Learn different battle tactics by watching the best duels on TV Royale,Support,Are you having problems? Visit ,http://supercell.helpshift.com/a/clash-royale/, or ,http://supr.cl/ClashRoyaleForum, or contact us in game by going to Settings > Help and Support.,Privacy Policy: ,http://supercell.com/en/privacy-policy/,Terms of Service:,http://supercell.com/en/terms-of-service/,Parent’s Guide:,http://supercell.com/en/parents/",,,"  5,000,000 - 10,000,000  ",2-Mar-16, 1.2.3  , 87M  ,Top Developer,"1,462,576",4.5,Clash Royale
      4.0.3 and up    ,Arcade,"Baby animals of the world are hungry, and they’re waiting for YOU to feed them! Match tasty treats through hundreds of match-3 puzzles across the globe to feed and befriend a herd of bouncing babies!,From the sun-baked savannah to the icy arctic, explore this new FREE match-3 puzzle game from the makers of Candy Blast Mania and Jewel Mania!,- 500+ puzzles of match-3 gameplay means there are plenty of Babies to feed!,- Make friends with Rex the Lion, Zoomer the Turtle, Nellie the Elephant, and many more! They can’t wait to meet you!,- Wake up napping Babies for a snack or help them dig for tasty treats in unique puzzle modes!,- Look out for that nasty Gopher Gang! They’ll steal the Babies’ food unless you stop them!,- Challenge your friends in the game to beat your top puzzle scores on the Leaderboards!,- Offline mode means you can play puzzles with the Babies no matter where you are!,- FREE TO PLAY with FREE updates, including new puzzles, new collections, new challenges, and more!,Hungry Babies Mania is the most DOG-gone charming and CAT-ivating puzzle game on Android! Best of all, it’s FREE!,Please note that Hungry Babies Mania is free to play, but you can purchase in-app items with real money. To disable this feature, go to the Google Play app on your device, tap the Menu button, select Settings > Use password to restrict purchases. Then follow the directions to complete setup. In addition, Hungry Babies may link to social media services, such as Facebook, and Storm8 will have access to your information through such services.,Follow Storm8 Studios!,www.storm8-studios.com,facebook.com/storm8 ,twitter.com/storm8",,,  1 - 5  ,2-Mar-16,,,Top Developer,"1,079",4.2,Hungry Babies Mania: Wildlife
      3.0 and up    ,Arcade,"Stack up the blocks as high as you can!,◉ Simple & Beautiful graphics designed,◉ Compete for the best score in the world",,,"  1,000,000 - 5,000,000  ",17-Feb-16,1, 25M  ,Top Developer,"40,356",4.3,Stack
      4.0 and up    ,Action & Adventure,"A bunch of Nasty Goats are on the loose! They've escaped their farm to go on a garbage-eating adventure. It’s your job to help them eat as much junk as possible before the farmer captures them and makes them go back to their boring home., ,•  Play a REAL game from Nickelodeon’s new TV show: GAME SHAKERS!,•  5 different locations and one secret hidden area to find!,•  6 different goats to play and collect!,•  13 different power ups that help keep the goats feasting on junk!,•  Collect 50 wearable items to customize the Nasty Goats!,•  Crazy combos to add bonus points to your score!,Nasty Goats collects personal user data as well as non-personal user data (including aggregated data).  User data collection is in accordance with applicable law, such as COPPA. User data may be used, for example, to respond to user requests; enable users to take advantage of certain features and services; personalize content and advertising; and manage and improve Nickelodeon's services. For more information regarding Nickelodeon’s use of personal user data, please visit the Nickelodeon Group Privacy Policy below.  Our Privacy Policy is in addition to any terms, conditions or policies agreed to between you and Google.  Nickelodeon and its affiliated entities are not responsible for Google's collection or use of your personal user data and information.  Use of this app is subject to the Nickelodeon End User License Agreement. ,Privacy Policy:,http://www.nick.com/info/privacy-policy.html,End User License Agreement:,http://www.nick.com/info/eula.html",,,"  100,000 - 500,000  ",23-Feb-16, 1.1.0  , 62M  ,Top Developer,"5,759",4.2,Nasty Goats
      4.1 and up    ,Puzzle,"GOOD NEWS, EVERYONE!,This is Professor Farnsworth. I'm sending you off on a whirlwind of deadly, quite deadly, and very deadly missions! I’ve created an array of delivery drones to make your almost certain death more fun than my trip to Ecstasia 9, the fun planet!,Oh, and remember, the drones require almost constant attention, so you’ll need to make sure they’re arranged in groups of four or more. I also added some rather explodey doohickies, so look out for super drones like the triple-dipple laser drone, oh my.,I expect you to behave in a manner becoming of a Planet Express employee, so that means no destroying all humans, Bender! And you’ll need to use each of your special abilities to get those packages delivered before we inevitably go bankrupt and you’re all living on the streets!,Come along, off you go. It’s time for my nap, oh yes.,*FUTURAMA: GAME OF DRONES FEATURES*,NOT SURE IF MATCH 3, OR… – This isn’t Slurm Soda Crush Epic! You gotta match 4, dummy.,YOU’RE SPECIAL – Use your special delivery boy superpowers, like, erm… oh never mind,EXPLORE THE FUTURAMA UNIVERSE – And teach colorful aliens how to lurve,*PARTICIPANT REVIEWS*,“I can’t believe this was released without a B76-403 certificate of fun.” - Hermes Conrad,“This will almost certainly stimulate the human’s tertiary brain.” - Dr. Zoidberg,“………………………………………………..” Hypnotoad, ,ALL GLORY TO THE HYPNOTOAD. DOWNLOAD FUTURAMA: GAME OF DRONES NOW! ALL GLORY TO THE HYPNOTOAD.,Developed in collaboration with The Simpsons creator, Matt Groening.,Futurama: Game of Drones is free to download and play, but it also allows you to purchase virtual items with real money inside the game. You can disable in-app purchases in your device’s settings.,You may require an Internet connection to play Futurama: Game of Drones and access its social features. Futurama: Game of Drones may also contain advertising.",,,"  1,000,000 - 5,000,000  ",27-Feb-16,,,Top Developer,"63,305",4.4,Futurama: Game of Drones
      2.3 and up    ,Card,"Play the #1 FREE SOLITAIRE (Klondike Solitaire/Patience) card game on Android!,9,8,7,6,5,4,3,2,1,0,Download now,It is the best free solitaire！！,Vegas Solitaire : Lucky Bet (also known as Klondike or Classic Solitaire) is the Best Solitaire card game on Android, get it for Free Now!,Vegas Solitaire：Lucky Bet has Klondike Solitaire 1 card and Klondike Solitaire 3 card draw. To make the game much cooler, you can bet coins before each game and win a lot by every card you manage to collect!,If you love solitaire, spider solitaire, freecell, or any other patience card games, don't miss out on the best solitaire for your phone and tablet!,Come and enjoy Vegas Solitaire：Lucky Bet！！,Solitaire Classic Highlights:,1 Klondike Solitaire Draw 1 card,2 Klondike Solitaire Draw 3 cards,3 Custom themes and card backgrounds,4 Bet to win tons of coins,5 Lucky Bet:Bet for Luck,6 Daily Challenge,7 Fun and surprising Achievements,8 Phone and Tablet support,Simple and addicting, Vegas Solitaire : Lucky Bet is sure to bring back old memories of the days when Windows Solitaire reigned supreme. ,We’ve taken the quintessential solitaire experience and revamped it for the new century.,What are you waiting for? This simple gem is the ultimate solitaire challenge - play Solitaire Classic now on Android for FREE!,9,8,7,6,5,4,3,2,1,0,Go！！,9,8,7,6,5,4,3,2,1,0,download now！！,9,8,7,6,5,4,3,2,1,0,download it now！！",,,"  10,000 - 50,000  ",24-Feb-16,1.3, 9.6M  ,,763,4.3,Vegas Solitaire : Lucky Bet
      4.0 and up    ,Card,"The most addicting card game Klondike Solitaire (Patience), is now on your Android device in HD. With simple controls and game play, its the true translation of the classic Windows Solitaire card game.,Features:,♠ Beautiful High Definition Graphics,♠ Simple controls,♠ Klondike Solitaire Draw 1 Card Mode,♠ Klondike Solitaire Draw 3 Cards Mode,♠ Unlimited Undos,♠ Double-tap mode,♠ Multiple boards and themes,♠ 100% FREE GAME",,,"  10,000 - 50,000  ",3-Mar-16, 1.0.1  , 15M  ,,"1,186",3.3,Klondike Solitaire HD
      4.0.3 and up    ,Puzzle,">> What color is coca cola... red or brown? ,Colorin - The colouring in game,- If you love logo games and you love adult coloring books, this is the free game for you.,- An adult coloring book, and a game, where you color in your favourite logos, objects and characters for free.,- Its a game, and a coloring pages book for adults and kids all in one.,- Take time out to color over 400 logos, objects, food, animals and cartoon characters.,- Colorfy your way to the top!,Relax and color in. ,> Look at the drawing of the logo, object, or character, choose a color, and tap to color in.,> Win stars for all correct colors used,> Try with one color, then use the color switch to try a different one,> Complete drawings with all of the correct colors to win 3 stars,Addictive and fun!,> Is it a logo quiz or is it a coloring game?,> Its both! Coloring in logos is addictive and fun, coloring books are relaxing and fun. Its double the fun!,All illustrations drawn by David Lambert, ,https://www.facebook.com/DavidLambertArtwork/, ,Commissioned by Poptacular.",,,"  10,000 - 50,000  ",7-Mar-16,1.71,,,"2,405",4.2,Colorin - The coloring game
      2.3 and up    ,Casual,"The old lady hopes to regain youth and beauty through plastic surgery. Please help her make her wish come true. Please help her remove wrinkles on her face and cow’s feet around her eyes to make skin regain glow and elasticity. The old lady also needs to deal with her badly eye pouch, please do her a favour to get rid of eye punch. ,Once the plastic surgery is completed, please help her put on makeup to look more beautiful. The final step, change into some fashionable and pretty clothes for her to let the lady go back to youth. ,This is a girls' game & casual game & fasion game & kids game! ,Find more free online games, please browse the website ,http://www.6677g.com,  No need to download!",,,"  10,000 - 50,000  ",26-Feb-16, 1.0.0  , 38M  ,,513,3.6,Grandma's Plastic Surgery
      4.0 and up    ,Puzzle,"Never Fishdomed before? Take a deep breath and dive into the underwater world of match-3 fun with Fishdom: Deep Dive!,Engage in challenging and fun match-3 gameplay with unique twists as you decorate tanks to create cozy homes for lovely fish. Feed them, play with them, and watch them interact with each other. Hey, your finned friends are waiting for you—DIVE IN NOW!,Features:,● Unique gameplay: swap and match, design and decorate, play with and take care of fish—all in one place!,● Play hundreds of challenging and fun match-3 levels,● Explore an exciting aquatic world with amusing 3D fish that each have their own personality,● Liven up tanks with breath-taking underwater decor,● Grab your scuba mask and enjoy amazing graphics,● It's buddy-diving time: play with your Facebook friends!,Please note! Fishdom: Deep Dive is free to play, though some in-game items can also be purchased for real money.,Enjoying Fishdom: Deep Dive? Learn more: Facebook: facebook.com/Fishdom Instagram: instagram.com/fishdomdeepdive Twitter: twitter.com/fishdomdeepdive,Questions? Contact our tech support at ,support@playrix.com,.",,,"  10,000 - 50,000  ",7-Mar-16,,,Top Developer,"51,091",4.5,Fishdom: Deep Dive
