operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      2.3 and up    ,Puzzle,"Second part of Bricks Puzzle Game. 32 new levels.,Arrange game pieces on the game board (three per step) to fill at least one horizontal or vertical row.,Just like in the original game, you can freely rotate them around the axis depending on the situation. If there is a single empty cell on the board, fill it in using a magic wand. The game continues till you run out of magic wands or possible combinations on the game board.",,,"  5,000 - 10,000  ",28-Mar-16,1, 22M  ,,14,4.7,Bricks Puzzle 2
      4.0.3 and up    ,Casino,"★★★★★WIN HUGE JACKPOTS! PLAY LAS VEGAS FREE SLOTS TODAY AND ENJOY THE BIGGEST PAYOUTS★★★★★,Viva Las Vegas Free Slots offers high quality, simple, and classic free slots games. ,★★★★ Game Features ★★★★,► Travel to a classic downtown Las Vegas casino and play free slots games!,► Enjoy single-line free slot machines with bars, triple sevens, diamonds, and cherries!,► No-internet and No-wifi required to play!,Like our games? Leave us a 5-star review. Your feedback is appreciated.,Play old Las Vegas free slots for free today!,Questions? ,E-mail us at: ,vivadeluxesupport@playrocketgames.com",,,"  10,000 - 50,000  ",1-Apr-16, 1.1.0  ,,Top Developer,"1,178",4.8,Viva Slots Deluxe! Free Slots
      2.3 and up    ,Casual,"You have to look for hidden objects in the levels. ,This game is suitable for all ages. ,You have to find five objects hidden in the picture, and then you get a prize. ,If you are very hard to find item, use the hint button.",,,"  1,000 - 5,000  ",20-Mar-16, 1.0.1  , 30M  ,,34,4.6,Mystic Falls. Hidden Objects
      4.1 and up    ,Casual,"Crack up with Soccer for Dummies, the soccer physics game that makes no sense and can be controlled with just one finger.,In Soccer for Dummies you will enjoy a ridiculous and insane soccer game in which the rules you thought you knew about this sport don’t apply anymore. Shoot, jump, kick… do whatever you need to score a goal.,Soccer Physics! Features:,- Crazy physics. Stagger, jump, fall down and score goals in the silliest way.,- Different soccer fields. Play in the rain, on ice, indoors or in a field with giant goals. Any place is good for a soccer game!,- All kinds of balls! Score goals with soccer balls, tennis balls, bowling balls, beach balls…,- Funny graphics. Take a look to the silly faces of the players… Just like in real life!,- Championship mode. Anyone can win the first game but it’s getting tougher. Will you be able to win the World Cup?,- Endless mode. One game after an another and another. It will be more and more difficult until you get beaten by that hateful team.,- Two players in one device mode. Challenge your best friend and show him you are much better than him.,How to play:, Tap the screen to jump and shoot at the same time. The first one to score five goals wins!",,,"  1,000 - 5,000  ",30-Mar-16,1.3, 45M  ,,40,2.9,Soccer for Dummies - Physics
      4.0 and up    ,Casual,"Turn your phone into a baby bottle of ultra-realistic milk!,Milk behaves like real liquid! Realistic effect guaranteed!,Impress your children by drinking a glass of virtual baby bottle.,• Touch the screen to fill the glass of baby bottle,• Choose baby bottle or milk glass,• Tilt the phone to empty the glass,• Change the color of the liquid to make mixtures,• Make the background transparent for even more realism,• Change the shade of the glass, baby bottle or teat,The ideal application for drinking with you baby!",,,"  10,000 - 50,000  ",7-Mar-16, milk-1.0  , 7.2M  ,,164,4.1,Milk
      2.3 and up    ,Casual,"do surgery to girls. surgery in the stomach. infusion and oxygen to little girl.,little girl surgery simulator is a game for kids and adults.,be a doctor and do the surgery in the hospital.,many levels: home and ambulance and hospital.,do operation to girls. operation to the stomach.,give injection for the infusion. intravenous fluids.,be an expert doctor.,fun and free game!,features:,- Many activities.,- Many levels.,- collect points to unlock new levels.,- many girls.,- easy!,- full game for free!,- be great doctor and surgeon!,- tools: oxygen mask, blood pressure, antiseptic, injector and more.",,,"  5,000 - 10,000  ",30-Mar-16,1, 5.9M  ,,34,3.3,little girl surgery games
      2.3.3 and up    ,Strategy,"In the last 1000 years, human’s ambitious expansion process from occupying mars to dominating the whole universe irritated some upper species. Earth was destroyed in 3016, and survivors became scavengers in space. You, captain of a star ship, are one of them. Survive is your priority, resource means everything! ,Galaxy Wars is a new kind of sci-fi survive game. While looting resource in the vast universe, you must be on guard of other captains’ attack. Besides other species. This game includes conflict, revolt, invasion and war between humans and unknown creatures; research, evolution and revolution of technologies; election, growing and thrive of a future universe dominator!,FEATURES,● Build your star ship into an unbeatable firmament fort,● Raise your own army of Sniper ship, Landing Craft, Mirage ship, Siege Eng. and other mighty ships,● Research to upgrade technology and get stronger,● Battle with players worldwide and take down their fortress,● Join together with other captains to form the ultimate space fleet,● Fight against other species, perish them to make room for human being,● Defend your village from other captains and unknown creatures with your battle ships and help from your alliance",,,"  10,000 - 50,000  ",31-Mar-16, 1.0.2  , 57M  ,Top Developer,419,4.1,Galaxy Wars
      2.2 and up    ,Casino,"Enjoy the funniest slot experience with 777 Golden Wheel Slots.,With 10+ games in various themes and different game play effects, you are guaranteed to enter into a new level of casino excitement. Bonus games are made to be additive enough you are looking forward to hit it again and again.,Featuring Golden Wheel Bonus, with 3 levels of progressive spinning wheels, bronze wheel with minimum payout, then silver wheel and golden wheel with mega jackpot of 10,000 coins x bet !!,There are many fun and different ways to get free coins. Coins are given every 3 hours, with progressive step to reach mega bonus with chance to win 100x of free coins !,User can also play Daily lotto scratch card to unlock games, or even get winning booster to increase your game win in every spin !!,Come play 777 Hot Slot Golden Wheel Slots, for FREE !",,,"  1,000 - 5,000  ",3-Apr-16,32.5, 36M  ,,62,4.3,777 Hot Shot Golden Wheel Slot
      2.3 and up    ,Casual,"Join Amazing Princess to do awesome flips and tricks on trampoline! If you are a big fan of amazing princess gymnastics games,  this is a must-have! , Do you have what it takes to become the gymnastics trampoline champion, showing off your back and front flips on trampoline? It is time to challenge yourself ! ,Bounce in the trampoline and don’t forget to not jump up into the balls to get the best high score among your friends. Beat their highscores by being the best at flipping in the air. You will never be bored again while you play this super fun gymnastics trampoline game.,Download and compete with all the Amazing Princess gymnastics lovers !",,,"  10,000 - 50,000  ",16-Mar-16,1.03, 19M  ,,110,3,Amazing Gymnastics Trampoline
      2.3 and up    ,Casual,"Learn how to cook the most delicious Italian pasta dishes playing Pasta Maker! Pasta is a great ingredient for quick and delicious dishes and we propose you 3 great recipes for you to enjoy cooking your favorite pasta meal on your phone or tablet!,The game will present you 3 different pasta recipes: Chicken Spaghetti, World’s Best Lasagna and Cheese Macaroni! For each recipe you need to gather your ingredients from the local store and then start the cooking process following some simple instructions. At the end decorate your dish and be proud of your chef skills!,Game Features:,- Great worldwide famous pasta recipes,- Easy and fun cooking gameplay,- Amazing graphic and enjoyable music,How To Play:,- Choose your favorite pasta recipe,- Pick out the best ingredients,- Cook Italian pasta dish following the instructions,- Decorate your yummy pasta food ,- Take your time, try it over and over again!,Happy Cooking!",,,"  50,000 - 100,000  ",9-Mar-16, 1.0.0  , 35M  ,,324,4,Pasta Maker
      2.3 and up    ,Racing,"Are you ready to be a car driver? Best Traffic Car Driving School Game!,A great Stuck in Traffic Game is now available. ,Game Features,- Realistic car driving experience,- Realistic traffic car driving,- Perfect HD graphics,- 10+ different cars,- Real car sounds,- Detailed cars interiors,- Realistic traffic system,- Perfect car physic and car simulation,- Large City Maps and Car GPS,- Various camera angles,- More than 15 language support,Completely realistic missions and car driving experience are waiting for you.,You can reach us for any questions or problems on ,help@zuuks.com,_________________________________________________________________,Our website: ,http://www.zuuks.com,Follow us on Facebook: ,https://www.facebook.com/zuuks.games,Follow us on Twitter: ,https://twitter.com/ZuuksGames",,,"  1,000 - 5,000  ",31-Mar-16,,,,213,4.8,Stuck in Traffic
      2.3 and up    ,Role Playing,"Take a journey into the world of Catlandia where innocent kittens are being brainwashed by the evil ChowCorp and held from their free will! Save and collect as many kittens as you can by breading them, travel through each region to find unique kittens, and bake delicious bread to wear on your cat to help in battles!,- Collect tons of RARE and UNIQUE kittens in every region!,- BREAD your favorite cat breed and try not to laugh!,- Unlock BREAD RECIPES to make your kittens STRONGER!,- Enjoy the BEAUTIFUL HD art and animations!,- Capture and NAME your own kitten!,- LEVEL UP your kittens to prepare for boss battles!,Only YOU can help and save them all from ChowCorp! Kittens are waiting!,FEATURES,- FREE TO PLAY! ,- Play with your favorite kitten and rescue MANY more into your collection,- Fun, easy to play, and entertaining for all ages,- Beautiful HD art and animation to capture the experience,- Train your team to beat your opponents,- Earn TONS of achievements and earn in-game rewards,- Unlock NEW recipes to bread your kittens and give them a boost  in battles!,- Each kittens has unique attack, health, and speed stats,- Capture all the Rare and Unique kittens to make your team undefeatable,Having problems? Any suggestions? We would love to hear from you!,http://www.facebook.com/BreadKittens,info@bake450.com,Twitter @bake450",,,  100 - 500  ,17-Feb-16, 1.1.9  , 79M  ,,35,4.3,Bread Kittens
      4.0.3 and up    ,Action,"We collect more than 30 html5 games in one app. You can play what you want. Parking games, girl salon games, puzzle games, arcade games and more. Please open your internet connection to play this free online games.,Let's start to play games and enjoy your time.",,,"  5,000 - 10,000  ",13-Mar-16,1.1, 4.6M  ,,31,3.9,Roky Games
      4.0 and up    ,Puzzle,"Have a bad mood? Want to kill  somebody? - Then this game is for you! See how stickman do it!,Never make Janitor angry! See funny animated stories and comics about Crazy Janitor.,* 5 ways to kill,,* a lot of fantasy, blood and fun.,Just click on objects and see what happens.,Live and death of stickman is in your hands now!",,,"  1,000 - 5,000  ",19-Mar-16, 1.0.0  , 17M  ,,26,3.7,Stickman Janitor Killer
      4.4 and up    ,Casual,"The App Store phenomenon is finally available on Android! Create stunning light art in 3D. Forge of Neon brings glow painting to a whole new level with three-dimensional symmetries. Unleash your creativity and experience the magic of 3D art with this unique app and share your creations with friends.,Forge of Neon has following features:,- Pan, zoom and spin around your art in full 3D with the intuitive interface,- Paint animated strokes for amazing glow particle effects,- Beautiful HDR mode with glow and exposure control for true magic on high end devices,- Full spectrum of colors to choose from,- 16 different brushes to paint and doodle with,- Draw abstract art using kaleidoscope and silk-style symmetries up to 64,- Save HD video or animated GIF of your creation with user-defined camera motion,Beta notice: Some incompatibilities can be expected at this stage and not all features are fully finished. Please contact ,support@volutopia.com, for any bug reports and other feedback.",,,"  1,000 - 5,000  ",23-Mar-16, 2.0.0b4  , 6.5M  ,,34,4.1,Forge of Neon
      2.3 and up    ,Word,"لعبة جديدة كليا مبنية على فكرة شبكة الكلمات المتقاطعة المغربية المعروفة ولكن بصورة عصرية ومسلية أكثر...,تحتوي لعبة كلمات متقاطعة على أسئلة كلامية في عدة مجالات:,- التاريخ,- الرياضة المغربية,- معلومات عامة,- أسئلة دينية,- ألغاز وأمثال شعبية مغربية,- مرادفات,وكذالك تشمل اسئلة مصورة لممثلين وشخصيات مشهورة في مختلف المجالات، أماكن ومدن مغربية... والكثير,وصلة المغرب,wasla maroc,المميزات:,✓ اسئلة متنوعة ومناسبة لجميع الاعمار,✓ تخطي السؤال إذا لم تتمكن من الإجابة,✓ اللعب بدون انترنت,Game entirely new network is based on the idea of ​​the crossword Moroccan known but more modern and more entertaining ...,Game crossword contain verbal questions in several areas:,- Date,- Moroccan sports,- general information,- Religious Questions,- Puzzle and the likes of popular Moroccan,- Synonyms,And also include pictorial questions to representatives of the famous personalities in various fields, places and Moroccan cities ... and a lot,Link Morocco,wasla maroc,Advantages:,✓ questions varied and suitable for all ages,✓ skip the question if you can not answer,✓ play without Internet",,,"  10,000 - 50,000  ",10-Mar-16,1.2, 5.0M  ,,317,4.3,وصلة اخر اصدار
   Varies with device    ,Casual,"Combine foxes to mutate them, discover their bizarre and exotic forms, and become rich! You can also customize your foxes them with tons of accessories in the dressing room!,Create tons of amazing foxes in this cute evolution game. As you create more foxes, you will discover new worlds and eventually capture the entire planet!,Your foxes will generate coins while you are away, that you can use to evolve even more foxes! You can even feed them berries!,As you create more and more evolutions and mutations, your foxes will generate even more coins for you!,What are you waiting for? Unlike many other evolution games, Fox Evolution has no pop up ads! Download this game now and witness the best evolution ever!,HOW TO PLAY,Drag similar foxes together to combine them and create new mysterious creatures,Foxes automatically earn coins but you can tap them to earn coins faster,Use coins to buy new foxes and make even more money,HIGHLIGHTS,The ultimate incremental clicker game,Tons of upgrades to get more foxes faster,Dressing room included so you can evolve in style,Earn coins from your foxes while offline,Four different areas to discover,Tons of crazy evolutions",,,  100 - 500  ,28-Mar-16,   Varies with device  ,   Varies with device  ,,27,4.8,Fox Evolution - Clicker Game
      2.3 and up    ,Puzzle,"Welcome to the Footballers War - the most challenge and funny game in store!,You are a very hungry footballers dot, wandering around and eating smaller footballers to grow bigger and bigger. Larger footballers out there, seeking to eat you. Be careful, try to grow bigger and bigger. Do not get eaten by other.,Try to survive as long as possible and comparing your high score to other players around the world!,This game is the mix of soccer players skin and made follow Argar IO game type which will make you excited to play and even don’t want to put off your device.,Now you can become CR7, MESSI, SUAREZ, FABREGAS, NEYMAR, and much more interesting players that you like.,GAME FEATURE:,★  3 COOL SKINS AVAILABLE:,    ●    FOOTBALLERS SKIN ( CR7, MESSI, SUAREZ, FABREGAS, NEYMAR,..),    ●    FOOTBALL MANAGERS SKIN( MOURINHO, PEP GUARDIOLA, ANCELOTTI, FERGUSON,..),    ●    FOOTBALL TEAM SKIN(MANCHESTER UNITED, MANCHESTER CITY, LIVERPOOL, ARSENAL, INTER MILAN, REAL MARID, AC MILAN,…),★  FREE TO PLAY,★  LEADER BOARD ,    ●    Now you can compare your points with others players all around the worlds,★  MULTIPLAYERS, REALTIME LEADERBOARD,    ●    Play online with friends all over the worlds and see who is better.,HOW TO PLAY:,Use your fingers, move around to control your dot. Eat all smaller dot and try to become bigger and bigger. Do not be eaten by other players,-----------------------------------,GOOD LUCK AND HAVING FUN!",,,"  1,000 - 5,000  ",2-Apr-16,4, 16M  ,,65,3.2,Footballers War- eater Agar.IO
      4.0 and up    ,Casual,"Play a FREE trial of this immersive, high-quality game! Then pay once & play forever offline!,The Owl Man was just a fable created to scare the children of Willowsville… until now. When a child is abducted from this small hometown, the citizens believe that the fictitious villain may actually exist! ,• DISCOVER THE SUSPICIOUS HISTORY BETWEEN TWO TOWNS,Though the Owl Man serves as a nightmare for Willowsville, you find that this same villain serves as a good omen in the nearby town of Nightsville. Uncover the rivalry that exists and get closer to the truth!,• RECEIVE THE GIFT OF FORESIGHT,Search through several hidden object scenes and use the gift bestowed onto you by a local townsperson to find out what has caused this kidnapping.,	,• IS THERE SOMETHING DIFFERENT ABOUT THE MISSING CHILD?,Play through a variety of mini-games and challenging puzzles and collect the clues you need to crack the case.,• PLAY AS THE OWL MAN IN THE BONUS GAME,Discover another story in the bonus chapter and enjoy other Collector’s Edition exclusives including achievements and collectible objects.,• Find thousands of hidden objects, plus solve tons of mini games and puzzles!,• Unlock this incredible Collector's Edition to gain access to all of the amazing bonuses and additional gameplay!,*** Discover more from Big Fish Games*** ,Sign up for our newsletter and never miss a new release or promotion again: ,http://bigfi.sh/AndroidSplash,Check out our entire game library with our Big Fish Games app absolutely FREE here: ,http://bigfi.sh/BFGAMGoog,Visit Big Fish Games, a leading developer, producer, and publisher of puzzle, adventure, casual, card & casino games!,VISIT US: www.bigfishgames.com,WATCH US: www.youtube.com/bigfishgames,FOLLOW US: www.twitter.com/bigfishgames,TALK TO US: www.facebook.com/bigfishgames",,,"  5,000 - 10,000  ",6-Mar-16, 1.0.0  , 958M  ,Top Developer,307,3.1,MT: Nightsville Horror
      2.3 and up    ,Racing,"WELCOME TO LONDON CITY ,Stunt drivers of the world are you ready for an epic car stunts adventure? This time we will act in London City and here we will do epic car stunts you never dreamt of. ,So stop dreaming and get in your super sports car and start performing the most foolish stunts. In this game you have to take some risk with your tricks. This is not a normal stunt game this is a unique stunt game, you will fall down from the sky with a parachute attached to your super sports car and you will land on the track. From that moment you as the stunt driver have timer set to complete the stunt course! ,Jump from roof to roof during the epic roof jumping stunts. Drive up the buildings and enjoy the challenging roof jumping levels. It’s time for the ultimate stunt driver experience so become the best stunt driver and roof jumper of the world. ,★★★Features London City Epic Car Stunts★★★,⇥ Perform epic car stunts in London City ,⇥ Take roof to roof jumping to the next level ,⇥ 20 challenging epic stunt levels to play ,⇥ Easy to play but hard to master stunt driver game ,⇥ Time Based Clock ticking missions ,⇥ Master the complete epic car stunt course,⇥ Different camera angles for extra control ,⇥ Unlock the best super sports car!,⇥ Play now the ultimate epic roof jumping stunt driver experience! ,⇥ Start with a parachute landing ,So you are the best stunt driver in London City?  Show off your stunt driver skills and try to finish all the stunt courses with your favorite super sports car. These stunt courses are full with danger and risk so don’t look down! ,Don’t forget to follow us on Social Media and keep up-to-date with your new driving games! ,http://www.facebook.com/gamebrickstudio",,,"  1,000 - 5,000  ",25-Mar-16,1, 39M  ,,28,3.9,London City Epic Car Stunts
