operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      4.0 and up    ,Education,"Smart Girl Zoey is here to teach kids basic hygiene and personal care! Play and learn daily routine with little Zoey at her home. Wake up your new best friend early in the morning and baby girl Zoey will show you how to wash your face, brush teeth, dress up, go to a toilet, do simple kids chores, take a bath, go to bed and create your personal daily care routine!,Designed for toddlers, preschool kids, girls and boys, this game helps children create good daily habits and understand the importance of personal hygiene. Hand washing, bathing, tooth brushing, dressing up and doing laundry are just a few examples of engaging activities inside!,Smart Girl Daily Routine Features:,- Wake up Smart Girl Zoey and learn to get ready in the morning: wash hands and face, brush teeth and comb hair!,- Play dress up with Zoey and get dressed for a new day. Mix and match clothes, shoes and accessories, and design the most beautiful girly outfit!,- Time for potty training: learn to go to a toilet, wash hands and cleanup!,- Help Zoey in the laundry room: sort clothes, set up the washing machine, hang the laundry to dry, do the ironing and learn how to keep your clothes fresh and clean!,- Get ready for bed with Zoey: have fun in a bubble bath, cut fingernails, clean the ears, brush teeth and turn off the light when Zoey falls asleep!,- Watch kids’ videos with Zoey and get 200 bonus coins for new dress up items!,- Play Smart Girl Daily Routine every day and collect 13 girly stickers! ,- - -,Discover more fun with TutoTOONS!,Play our games: ,http://tutotoons.com/games,Follow us on Twitter: ,https://twitter.com/TutoTOONSGames,Like us on Facebook: ,https://www.facebook.com/tutotoonsgames,Follow us on Instagram: ,https://instagram.com/tutotoons/,Meet us on Google+: ,https://plus.google.com/+Tutotoonsgames,Get our newsletter: ,http://ow.ly/HlYbn",,,"  50,000 - 100,000  ",1-Apr-16, 1.0.4  , 35M  ,,262,3.7,Smart Girl Daily Routine
      2.3 and up    ,Strategy,"Prepare to enter a world of chaos in Lords Mobile, a real-time, competitive strategy game. Build up your empire, collect exotic Heroes, train your troops, and battle your way to the top! Even in this dog-eat-dog world, perhaps you'll find an alliance within a Guild. But if they're not with you, they're against you. Destroy all who stand in your way to total domination! The world is yours for the taking in Lords Mobile!,- Fight players from all over the world from the comfort of your own device!,- Discover an epic world in stunning, hi-definition 3D graphics!,- Build a mighty kingdom and defend it with deadly traps!,- Collect a curious cast of kooky combatants! Can you complete your collection?,- Spy on your enemies in order to plan the perfect assault!,- Track your results in real-time!,- Unite your armies in powerful Guilds in order to conquer the world!,Visit our Facebook Page at: ,https://www.facebook.com/LordsMobile",,,"  1,000,000 - 5,000,000  ",26-Mar-16,,,Top Developer,"181,333",4.6,Lords Mobile
      2.3 and up    ,Card,"solitaire,solitaire Klondike will be perfect for you,If you like  Solitaire, you're going to love Solitaire Free. Classic Solitaire, also known as Patience Solitaire, is the most popular solitaire card game in the world. Simple and addicting, Solitaire Classic is sure to bring back old memories of the days when Solitaire reigned supreme. We've taken the solitaire experience and revamped it for the new century.,Just single tap or drag and drop to move the card, and use the shortest time and moves get the highest scores.,Features:,** Beautiful graphics and classic gameplay,** Smart tap, drag and drop,** Klondike (Patience) Solitaire Draw 1 card,** Klondike (Patience) Solitaire Draw 3 cards,** Classic / Las Vegas scoring,** Records of top scores,** Hints of potentially moves for free,** Unlimited undo, for free,We hope you enjoy the classic Klondike Patience Solitaire card game for FREE. Best solitaire game! Enjoy the solitary! Just give the game a try, and we promise Solitaire will be the most beautiful and user friendly solitaire game you've ever played.",,,"  5,000 - 10,000  ",1-Apr-16,1, 18M  ,,59,4.2,Solitaire
      4.0.3 and up    ,Casino,"★★★★★WIN HUGE JACKPOTS! PLAY LAS VEGAS FREE SLOTS TODAY AND ENJOY THE BIGGEST PAYOUTS★★★★★,Viva Las Vegas Free Slots offers high quality, simple, and classic free slots games. ,★★★★ Game Features ★★★★,► Travel to a classic downtown Las Vegas casino and play free slots games!,► Enjoy single-line free slot machines with bars, triple sevens, diamonds, and cherries!,► No-internet and No-wifi required to play!,Like our games? Leave us a 5-star review. Your feedback is appreciated.,Play old Las Vegas free slots for free today!,Questions? ,E-mail us at: ,vivadeluxesupport@playrocketgames.com",,,"  10,000 - 50,000  ",4-Apr-16, 1.2.0  , 48M  ,Top Developer,"1,411",4.8,Viva Slots Deluxe! Free Slots
      4.0.3 and up    ,Creativity,"Budge Studios™ presents Strawberry Shortcake Candy Garden! Strawberry Shortcake needs your help to create the sweetest garden ever! Plant your favorite treats, from berrylicious donuts to fruitastic candies, and watch them blossom as you add water and sunshine. Harvest your treats to complete the characters’ wishes and receive berry-ific rewards to decorate your scrumptious garden!,FEATURES,Create your berry own special garden,Plant from a selection of 13 berrylicious candy treats,Mix your treats with 7 fruitastic flavors,Help your garden blossom as you add water and sunlight,Decorate your treats with sweet sprinkles,Harvest your treats to complete the characters’ wishes and earn rewards,Tend to your garden by removing growing weeds and disruptive moles,Decorate your garden with berry-ific items,Visit us: www.budgestudios.com ,Like us: facebook.com/budgestudios ,Follow us: @budgestudios ,Watch our app trailers: youtube.com/budgestudios ,HAVE QUESTIONS? ,We always welcome your questions, suggestions and comments. Contact us 24/7 at ,support@budgestudios.ca, ,COPPA COMPLIANT,Budge Studios takes children's privacy seriously and ensures that its apps are compliant with privacy laws, including the Child Online Privacy Protection Act (COPPA), a privacy legislation in the United States of America.   If you would like to learn more on what information we collect and how we use it, please visit our privacy policy at: ,http://budgestudios.ca/?p=privacy, . If  you have any questions, email our Privacy Officer at : ,privacy@budgestudios.ca,Before you download this game, please note that this app is free to play, but additional content may be available via in-app purchases. It also may contain advertising from Budge Studios Inc.  regarding other apps we publish and from partners, and social media links that are only accessible behind a parental gate. ,BUDGE STUDIOS is a trademark of Budge Studios Inc.",,,"  50,000 - 100,000  ",22-Mar-16,1.1, 82M  ,Top Developer,"1,411",4.1,Strawberry Shortcake Garden
      4.0.3 and up    ,Adventure,"Are YOU the next IT GIRL?! Be the girl EVERYONE is talking about! ,Take over the fashion world with your superstar style, awesome modeling and acting skills and overall COOLNESS! Dress up in the most fashionable outfits and surprise everyone with your glam and glitz! ,⋆ SHOW OFF YOUR STYLE and dress up in hundreds of trendy outfits from the hottest new shops in the mall! ,⋆ SHINE LIKE A STAR – get invited to all the best parties! Everyone wants an interview with you, IT GIRL! ,⋆ MAKEOVER TIME - choose from tons of makeup items like blush, glittery eyeshadow, a variety of lipstick colors and more!,⋆ TAKE OVER THE FASHION WORLD as a cover model, fashionista, celebrity and more! Dress up in celebrity inspired outfits and flaunt them on the red carpet!  ,⋆ SHOP TILL YOU DROP – collect coins to earn fashion items and buy new clothes and dress up!,ABOUT US,Crazy Labs is a casual games brand, under which TabTale develops and publishes fun and addictive games. Crazy Labs partners with independent development studios across the globe to create engaging mobile content for audiences of all ages. ,Like us: ,https://www.facebook.com/crazylabsgames,Watch us: ,http://www.youtube.com/iTabtale,Visit us: ,http://tabtale.com/,Follow us:@CrazyLabsGames,Google Plus: ,https://plus.google.com/+Tabtale/posts, ,CONTACT US ,Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at Talk2Us@Crazy-Labs.com.,PRIVACY: ,* This App is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on your device.,* By downloading this App you agree to TabTale’s Privacy Policy and Terms of Use at ,http://tabtale.com/privacy-policy/, and at ,http://tabtale.com/terms-of-use/,.,This App may include third parties services, such as ad networks and analytics, and may contain social media links that allow users communicate with others. Collection and use of data are subject to TabTale's Privacy Policy.",,,"  100,000 - 500,000  ",30-Mar-16,1.894, 238M  ,Top Developer,"9,739",4,It Girl!
      2.3.3 and up    ,Creativity,"Who says school is all about uniforms? Let's rock out to your favorite clothes and get to school in style!,What kind of senior life do you like? Courses, balls, parties, sports games, travels, concerts and so much more... You know what, different occasions require entirely different outfits. And, did you hear the news? A new fashion shop has come into being for high school girls, and the consultant is our Blair who is a true styling expert. Let's guess who will be her first guest. Is it someone around you? Now, let's start out before senior life comes!,How to Play:,Have you ever dreamed of running a boutique? Open the game, and you'll see one. Look~ Several girls are waiting for styling advices. Tap them and they'll tell you their needs. Okay, have you noticed words at the top of the screen? Keep them in mind and help the guests find perfect styles from head to toe. All right, tap the OK button and one guest will be served. With stars awarded, tap the decoration button at the lower right corner to exchange for extra items. Sweetie, Blair is talented, but she still needs learning to make her styling advices flaunt the latest fashion. Tap the bookshelf and do her a favor in learning. Various skills and titles will be granted. Let's give it a whirl in the World Styling Contest. Oh, a warm tip, gifts are hidden throughout the game, why not become a part of us and find out?,Features:,- Immerse yourself in a galaxy of clothes and accessories,- Take part in the hottest World Styling Contest,- Make the room unique with dozens of decorations,- Enjoy the fun of titles and skills system,- Get extra joy out of a bundle of gifts,About Libii Game:,With over 400 million downloads and growing, Libii is committed to creating innovative games for kids. We'll keep working on establishing a good relationship with both parents and their children and bringing a healthy, happy atmosphere for them.,Visit us: ,http://www.libii.com/,Like us: ,http://www.facebook.com/LibiiGame,Contact us:,Got any ideas? Suggestions? Need technical support? Please feel free to contact us 24/7 at ,WeCare@libii.com,Need You Know:,This app is totally free to download and play, some basic items are also free to use, but some additional items need you to purchase and pay to unlock. Therefore, if you do not want to use these items, please turn off the in-app purchase in your settings. Thanks.",,,"  100,000 - 500,000  ",15-Mar-16,1, 82M  ,,"4,447",4.2,Blair's School Boutique
      4.0 and up    ,Adventure,"The newest game title in Shall we date? series ""Oz+"" is released! Complete the prologue before Apr. 26, 5:00 PM (PDT) and get $20(USD) worth of useful items! ,Shall we date?: Oz+ (Oz plus) is a visual novel style otome game, full of fantasy, adventure, romance and friendship. ,Story Summary: ,After the journey in the Land of Oz, you, as a heroine, returned to your home in Kansas. Years had passed since then, and your 17th birthday was drawing closer. One day, three hot guys showed up at the front door of your house. They were actually your friends who went on the journey together; the Scarecrow, the Tin Woodman and the Lion! “Come on! Let’s go to Oz to celebrate your birthday!” Excited about the grand birthday celebration, you headed back to the Land of Oz with them. “Hello again Oz world!”,Game Features: ,*FREE to play! ,*A variety of unique male characters to choose from for your romantic partner: the Scarecrow, the Tin Woodman and the Lion.,*Multiple endings for each character - the ending of the game changes depending on the choices you make in the episodes.,*Dramatic scenarios filled with both the serious and comical moments. ,*Many fine illustrations of Japanese manga and anime arts.,*A variety of accessories and items to enjoy cosplaying avatars.",,,"  50,000 - 100,000  ",23-Mar-16, 1.0.0  , 29M  ,,"1,349",4.5,Oz+ / Shall we date?
      2.3 and up    ,Casual,"Take a stroll through this fantastic foliage!,Hidden Pieces: Spring is Garden is a jigsaw-like game brimming with scenes of regrowth. Solve 20 beautiful, hand crafted puzzles as difficulty increases. Can you become the hidden piece master? ,Our Spring Garden is teeming with new growth! ,Main features:,- Unique puzzle game mechanic,- 20 hand-crafted backgrounds,- Beat your best times,- Daily rewards,- Replay for high scores,- Become the hidden piece master!,- Powered by Dolby® on supported devices",,,  100 - 500  ,3-Apr-16, 1.0.0  , 24M  ,,9,4.8,Hidden Pieces: Spring Garden
      2.3 and up    ,Simulation,"Ever wanted to drive flying cars? Well, it's your chance to experience the best blend of flying car games and car stunt games. This amazing flying car simulator will take you towards an action packed ride in the latest flying car racing games. It's time for our car stunt race driver 3d to show exceptional air craft pilot skills and car driving skills in one of the most spectacular flying car games. In the finest combination of flying car racing games and car stunt games, run from the police and fly your car around the city to perform multiple stunts and drifts. Enjoy a realistic flying car simulator and be the best car stunt race driver 3d. Download FLYING CAR RACING and experience cutting edge realistic 3D graphics!,This is an adventurous challenging game where you are playing the role of a thief and car driver. The game will start off by giving an option of flying car selection for the user to select the best flying car to run from the police. In every level, the car driver will have to go through a specific number of obstacles and obtain fuel boosters in the sky to keep up the fuel power of the flying car. If the flying car doesn't get the fuel booster in the sky, the car will drop on the city ground and the police will arrest the thief. The speed of the flying car will also be displayed on the screen. A specific time limit will be provided in all levels in which we have to complete the missions.,Be the fearless car stunt race driver 3d and complete adrenaline fueled multiple flying car simulator missions. In one of the most innovative flying car racing games, fly your car like an airplane and feel like a professional aircraft flight pilot. Get to experience extreme chase action with FLYING CAR RACING, one of the best fusions of car stunt games and flying car games in play store!",,,"  5,000 - 10,000  ",23-Mar-16,1, 36M  ,,36,3.7,Flying Car Racing
