operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      4.0.3 and up    ,Strategy,"Enter the Arena! From the creators of Clash of Clans comes a real-time multiplayer game starring the Royales, your favorite Clash characters and much, much more.,Collect and upgrade dozens of cards featuring the Clash of Clans troops, spells and defenses you know and love, as well as the Royales: Princes, Knights, Baby Dragons and more. Knock the enemy King and Princesses from their towers to defeat your opponents and win Trophies, Crowns and glory in the Arena. Form a Clan to share cards and build your very own battle community.,Lead the Clash Royale Family to victory!,PLEASE NOTE! Clash Royale is free to download and play, however, some game items can also be purchased for real money.If you do not want to use this feature, please set up password protection for purchases in the settings of your Google Play Store app. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash Royale.,A network connection is also required.,FEATURES,● Duel players from around the world in real-time and take their Trophies,● Earn chests to unlock rewards, collect powerful new cards and upgrade existing ones,● Destroy opponent’s towers and win Crowns to earn epic Crown chests,● Build and upgrade your card collection with the Clash Royale Family along with dozens of your favorite Clash troops, spells and defenses,● Construct your ultimate Battle Deck to defeat your opponents,● Progress through multiple Arenas all the way to the top,● Form a Clan to share cards and build your very own battle community,● Challenge your Clanmates and friends to a private duel,● Learn different battle tactics by watching the best duels on TV Royale,Support,Are you having problems? Visit ,http://supercell.helpshift.com/a/clash-royale/, or ,http://supr.cl/ClashRoyaleForum, or contact us in game by going to Settings > Help and Support.,Privacy Policy: ,http://supercell.com/en/privacy-policy/,Terms of Service:,http://supercell.com/en/terms-of-service/,Parent’s Guide:,http://supercell.com/en/parents/",,,"  10,000,000 - 50,000,000  ",2-Mar-16, 1.2.3  , 87M  ,Top Developer,"2,277,707",4.5,Clash Royale
      2.3.3 and up    ,Casino,"Get ready to play Wild Deluxe Slots machine free! One of the most massive multiplier games around!,Wild Deluxe Slots Machine Free is easy to play and offers large jackpots up to $250,000 as well as bonus games. Whether you like penny slots or multi pay-line slot machines this game is for you. While Triple 100X pay slot machine has loose slots it's not easy to get to the top of the leaderboard. Compete against all the app users for the top spot on the leaderboard daily and all time.,Amazing Features:,• Bonuses awarded frequently,• Three wild multipliers - with one combination over 300 TIMES PAY!!!,• Bonus games such as Match 3 game"" with great rewards,• Authentic Vegas feel,• Big Jackpots,• Realistic sounds,• 3 hour bonuses offering double credits and more",,,"  10,000 - 50,000  ",8-Mar-16,1, 14M  ,,55,4.1,Double Wild Slots
      4.0 and up    ,Pretend Play,"Played by millions of girls worldwide, Sweet Baby Girl Beauty Salon 2 opens up after a complete makeover and now comes with the new cute clients and tons of new salon fun for girls!,Meet Sweet Baby Girl and her little friends in their all-time favorite Beauty Salon for a super fun spa & makeover time. Get ready to play hairstylist, hairdresser, fashion designer, nail artist, makeup artist and even salon cleanup because now you run your dream beauty center. Pedicure, manicure, prom hairstyle, makeup, hair coloring, dress up & even more makeover fun inside!,**GAME FEATURES**,PROM HAIRSTYLE: Sweet little Emma is going to the prom, help her look fabulous and play prom hair stylist - wash, shampoo, cut, curl and decorate her beautiful hair!,MAKEUP TIME: Create a cute girly makeup for Emma that will match her prom hairstyle! Clean the skin, color the lips red and highlight Emma’s eyes with pink eye-shadows. Surprise Emma with hand-made jewelry and super fun prom party dress up!,HAIRCUT: Laila has super frizzy hair and she needs your help! Wash, shampoo, dry, cut, comb and style her hair, then use your fabulous sense of style playing dress up and create a new look for little Laila!,MANICURE: Sweet baby girl Alice wants her nails look very pretty – get ready to cut, color and decorate her nails with little diamonds. Craft Alice a beautiful bracelet, draw a henna flower tattoo on her hand and decorate it with ribbons, butterflies, jewelry and shiny gems!,CLEANING TIME: It’s much more fun to play makeover in a shiny, nice and clean Beauty Salon, right? It can get really messy around here with so many little clients, don’t forget to tidy up! Clean up hair styling tools and mirrors, change light bulbs, mop the floor and more!,MAKEUP CLEANING: Cute Chloe came to the Beauty Salon straight from a princess party that she had with her friends. Clean her makeup, wash glitter from her hair and play relaxing face spa!,PEDICURE: Now that Chloe’s skin looks fresh, she wants a fish pedicure! Let her little girly feet relax in a warm foot bath, scrub the heels and color the nails!,HAIR DYING: Sweet baby girl Yukiko wants to color her long black hair, help her! Shampoo, wash, dry, color, cut and style her hair. Find the perfect hairstyle for Yukiko and choose the most beautiful fashion accessories!,DRESS UP: Play fashion stylist and create a new perfect Sweet Baby Girl look! Get ready to mix and match dresses, shoes, accessories and hairstyles in 8 categories, and design hundreds of stylish outfits!,VIDEOS: Watch videos for kids, get more coins and unlock new dress up items or Makeup Cleaning game!,STICKERS: Play Sweet Baby Girl Beauty Salon 2 every day and collect all beauty salon stickers!,- - -,ABOUT TutoTOONS Games for Kids,Crafted and play-tested with kids and toddlers, TutoTOONS games cherish the childhood and help children learn the basic life skills through games they really love.,Dress up games can develop creativity and art skills, cleanup games build good every day habits, cooking games show how to help parents at home, pet games teach to share and care. These are just a few examples how TutoTOONS games let children explore the world around them and develop on their screen time.,Discover more fun with TutoTOONS!,Play our games: ,http://tutotoons.com/games,Follow us on Twitter: ,https://twitter.com/TutoTOONSGames,Like us on Facebook: ,https://www.facebook.com/tutotoonsgames,Follow us on Instagram: ,https://instagram.com/tutotoons/,Meet us on Google+: ,https://plus.google.com/+Tutotoonsgames,Get our newsletter: ,http://ow.ly/HlYbn",,,"  100,000 - 500,000  ",1-Mar-16, 1.0.7  , 75M  ,,"1,146",3.7,Sweet Baby Girl Beauty Salon 2
      4.0.3 and up    ,Arcade,"Time for a Fishing Break!,Get on your boat and go on a fishing trip all around the world. Catch big rare fish, upgrade your gear, and build your collection!,Try it and get hooked :),Features:,Simple to play yet offers a nice challenge,Leaderboards for each fish to compete against your friends and the world,Achievements based on dubious puns,22 fishing spots in 8 gorgeous worlds,Hundreds of different fish (including sharks, wait until you see it!),Over 200 special elemental fish (light, dark, grass, electric, fire and ice!),Hours of relaxing fishing fun,Please share the game with your friends and rate it in the store!,Please get in touch with us if you experience any issue through the “Support” feature in the options menu or at the following email: ,support@roofdog.ca,You can also send us bad fish puns and we'll probably add achievements based on them :p",,,"  50,000 - 100,000  ",15-Mar-16, 1.1.5.36  , 65M  ,Top Developer,"2,850",4.4,Fishing Break
      3.2 and up    ,Casino,"Slots 777 - the hottest casino slots game! Play free slots with Wilds, Free Spins and Bonus games, just like casino slots in Vegas.,Love free slots?Love casino games? This is the slot machine you will enjoy!,★★★★★ WIN THE BIGGEST JACKPOT SLOTS! PLAY SLOTS 777 TODAY ★★★★★,Spin to win the BIGGEST jackpots in electrifying Vegas style slot machines and mini games in Slots 777 Casino! Keep the coins flowing in all of our casino games and hit one jackpot after the next!Fans of Las Vegas slot machines will LOVE all of the free slot and mini games! ,Slots 777 Casino Games Features:,- Stunning selection of casino slots,- Premium graphics and sound effects,- Free casino games with authentic Vegas look and feel,- Play mini games free of charge! These free casino games increase your earnings and get you closer to Vegas domination,- Enormous JACKPOTS,FREE to play every day,- Auto spin & Fast stop,Experience Vegas at its best as you play authentic free video casino slots – anytime, anywhere! you can exactly like the ones found in the best casinos in Vegas and around the world!free video slots are at your fingertips... awesome 777 casino fun awaits!,Fans love Slots 777 - Casino Slot Machine:,""You've found the best slots app on Android!"",""I enjoy playing these slots games.It's definitely addicting."",""Great casino lots of games bonuses and payouts!!"",""This jackpot slot games is the best!"",""One of the best slot games I have ever played!"",Let's gamble with your 888 Casino maybe you become a millionaire overnight.Just don’t linger, take your broom and make trip to 777 Slot Machines to reveal all gainful secrets of the pokies.,Download & Play SLOTS 777, the best casino game where you can enjoy slots fun anytime anywhere!",,,"  50,000 - 100,000  ",3-Mar-16,1.12, 34M  ,,"1,613",4.7,Slots 777:Casino Slot Machines
      4.0.3 and up    ,Casual,"Are you ready to play all day?! Join the Kindergarten Kids in the most exciting kindergarten around! If you want to sing along in a puppet show, blow crazy bubbles, and  play a colorful keyboard with the Kindergarten Kids, you’ve come to the right place! Every room in kindergarten is filled with interactive and fun games! Don’t forget to stop by the nurse's office for a special prize! ,Fun-Filled Features:,> Blow bubbles in the bathroom! Make bubbles in all kinds of cool shapes! ,> Sing-along with the Kindergarten Kids song in the adorable puppet show!,> Get creative, painting pictures and decorating cans in the art room!,> Get a special prize from the nurse after she checks that you’re A-OK! ,> Munch on your favorite foods in the cafeteria with the Kindergarten Kids! ,> Solve the maze and help the school bus reach the kindergarten!,> Play the piano and solve colorful puzzles in the playroom!,> Plant and care for your very own the garden! Help make it beautiful!,ABOUT TabTale ,A Google Play Top Developer, recognized for its commitment to launching high-quality and innovative apps on Android, TabTale lovingly produces games, interactive e-books, and educational experiences. With over 850 million downloads and growing, TabTale has established itself as the creator of pioneering virtual adventures that kids and parents love. TabTale’s apps spark children’s imaginations and inspire them to think creatively, while having fun! Search “TabTale” on Google Play and discover more incredible apps. ,Visit us: ,http://www.tabtale.com/, ,Google Plus: ,https://plus.google.com/+Tabtale/posts, ,Like us: ,http://www.facebook.com/TabTale,Follow us:@TabTale,Watch us: ,http://www.youtube.com/iTabtale,CONTACT US ,Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com.,IMPORTANT MESSAGE FOR PARENTS: ,* This App is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on your device.,* By downloading this App you agree to TabTale’s Privacy Policy and Terms of Use at ,http://tabtale.com/privacy-policy/, and at ,http://tabtale.com/terms-of-use/,.,Please consider that this App may include third parties services for limited legally permissible purposes.",,,"  50,000 - 100,000  ",14-Mar-16, 1.0.2  , 60M  ,Top Developer,350,3.8,Kindergarten Kids-Play All Day
      2.3 and up    ,Casino,"***The most original free-to-play slots game in years!***,With Titan Slots II, you'll uncover the mystery of the gods by completing special tasks that are great fun, along with other fantastic game features. Come experience an exhilarating adventure that's just packed with fun!,Titan Slots II is full of all kinds of great gameplay, and is especially designed for your mobile devices to give you the most realistic Las Vegas casino experience.,If you love slots games, then you absolutely cannot miss out on Titan Slots II.,Amazing features of Titan Slots II include:,- A huge variety of slots games that provide you with all kinds of really fun slots experiences!,- Huge payouts that will have you more excited than you've ever been!,- Bonus games, free spins, and other special modes that are designed for non-stop fun!,- Bonus slots: special slots-style bonus games with awesome payouts; you'll be winning more than you ever imagined while experiencing something that's truly a treat for the senses!,- Daily challenges: complete the objectives to win rewards!,- Regularly updated with new slot machines; the fun never stops!,- Offline mode: Keep playing for free, even when you don't have an Internet connection.",,,"  10,000 - 50,000  ",11-Mar-16, 1.0.11  , 77M  ,,249,4,Titan Slots II
      4.0 and up    ,Action,"The king of the deep sea is not a fish... it's a worm! You play a hungry worm who wants to destroy and eat everything he can find. In Prehistoric worm Deep sea you can control different worms, which have different abilities, and you can upgrade your worm to make it even stronger. Collect and use cards to improve your worm during each game and make unique sets! Hunt your score on different islands, which all have unique objects on it, and get the best of the world.,-Features-,-Highly addictive gameplay,-collect and use your cards to get better,-finish quests to earn rewards and to level up,-different worms/islands,-Upgrade your worm to get stronger!,-Compare your highscore with your friends or with the world (google+),-Different enemies (Coastguard, Police,...),-minimalistic oldschool pixel graphics",,,"  5,000 - 10,000  ",16-Mar-16, 1.0.8  , 20M  ,,469,4.6,Prehistoric worm Deep sea
      2.3 and up    ,Arcade,"A crazy cooking fever in the kitchen with yummy five star food recipes and Chef Audrey! Join the tasty dash, travel and explore towns, each with a new restaurant, cafe, coffee shop, bakery or diner ! Sounds like fun? Roll up your sleeves and get ready to cook, serve and make customers happy with various challenges in this cafe world! Can you survive the frenzy?,Are you ready to live the life of a rising star who just graduated from the chef academy? Cooking Tale will fill your dreams of being a chef and cooking various food of the world cuisine. As well as basic dishes like burger, pasta, hot dog, pizza and tasty desserts like ice cream and cake, in Cooking Tale, you'll find exotic and gourmet dishes from all around the world. The Chinese prefer Deep Fried Dumplings and Vegetable Lo Mein while you'll have to be baking cupcakes for the English tea time! ,The most important of all, Cooking Tale is an addictive time-management game in which you'll have to reach the perfect speed and skill in this amazing kitchen dash! Some dishes are ready to be served at once but some of them are prepared with up to three steps. Your kitchen is equipped fully with all the cooking tools you need, and there are many more in the Shop, even more advanced and useful! Take orders, scramble eggs, serve noodle and make more money for super upgrades! ,Every new episode on the map will bring you a new restaurant with new recipes and more fun customers to deal with! Your mini stall might be visited anytime by different characters. A surprising illusionist and even a thief may stop by! Prepare yourself for the rush!,Mix ingredients, prepare dishes and put your time management skills to the test by serving all the customers before your time runs out! Every level has a different challenge and fast-paced fun! Play now and...,★ COOK hundreds of different DISHES!,★ DISCOVER amazing RESTAURANTS and TOWNS on the map!,★ LEARN RECIPES from around the world!,★ SERVE super-fun CUSTOMERS on time!,★ UPGRADE and BOOST your KITCHEN with brand-new tools!,★ CHALLENGE the other CHEFS on every level!,★ CONNECT with your FRIENDS to exchange FREE GIFTS! ,Discover the exciting map with more than 300 levels and addictive challenges. FREE to play!,★ LIKE US!,Don’t forget to like our Facebook page to follow the latest news and win free gifts: ,https://www.facebook.com/cookingtalegame,★ FOLLOW US!,https://twitter.com/cookingtalegame,★ PLAY ON FACEBOOK!,https://apps.facebook.com/cookingtale",,,"  100,000 - 500,000  ",17-Mar-16,2.175, 69M  ,,"3,777",4.3,Cooking Tale
      4.0.3 and up    ,Card,"Woah! These Cards Know Kung Fu!,Legend tells of an ancient card battle game, whose hundreds of cards and strategic kung fu card battles were the stuff of… legends. In this game based on Dreamworks """"Kung Fu Panda"""" both beginner and bodacious kung fu warriors will train to master their skills and achieve PURE AWESOMENESS!,Get your kung fu on and go head-to-head with friends and other players  as you battle for card fu supremacy! Hone your skills against the Practice Dummy or face off against live opponents. With each skadoosh, rise in the ranks and become the ultimate kung fu master! ,This Kung Fu is easy to learn:,PLAY AS YOUR FAVORITE CHARACTERS: Master your kung fu as Po and the Furious Five! ,KUNG FU-NESS MADE EASY: Train to learn the basics and quickly level up into some serious kung fu action!,STACK THE DECK: Build awesome decks as you collect and create cards. Features hundreds of new characters, weapons, and moves never before seen in """"Kung Fu Panda""""!  ,THE STUFF OF LEGENDS: Make super cool STUFF by transforming cards you don’t need into cards that you totally need!,QUESTS FOR GOLD: Master your Kung Fu by completing daily Quests - Conquer each challenge to win Gold and earn the respect of your opponents.,CLIMB THE RANKS: Compete in head-to-head battles to improve your rank and win exclusive cards and bonuses!,--,Got feedback? Tell us about your experience at ,support+kfp@ludia.com, to help us make the game better!",,,"  50,000 - 100,000  ",15-Mar-16, 1.2.17  , 93M  ,Top Developer,"3,190",3.7,Kung Fu Panda: BattleOfDestiny
