operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
   Varies with device    ,Puzzle,"Swap cakes in a crazy match-3 adventure starring YOU and YOUR friends! Escape to a crazy world where streets are filled with treats and YOU are the star baker. Satisfy YOUR friends’ cravings for sweets as you serve treats to become the best baker in the land. ,Increasingly challenging puzzle play includes new ways to match and win. Solve hundreds of crazy cascading levels and match your way to sweet victory!,Key Ingredients:,★ NEW WAYS TO PLAY: Match-4 squares make frosting tubes, match paths to get customers to the door, and find friends buried below treats!,★ YOUR PHOTOS IN THE GAME: Add and share unique photos of your friends, family, and even your pets to be the stars of this crazy cake adventure!,★ EXPLOSIVE FUN: Rainbow stars, exploding cakes, and frosting tubes create confectionary cascades,★ EVERLASTING GAMEPLAY: 150+ challenging, yet satisfying levels,★ GET CONNECTED: Save your progress, connect with friends, and see their photo in your game,Enjoy explosive fun for the whole family! Download free today!,LIKE: ,https://www.facebook.com/crazycakeswap,ADDITIONAL DISCLOSURES:,● Use of this application is governed by the Zynga Terms of Service. These Terms are available through the License Agreement field below, and at ,http://m.zynga.com/legal/terms-of-service,.,● For specific information about how Zynga collects and uses personal or other data, please read our privacy policy at ,http://m.zynga.com/privacy/policy,. Zynga’s Privacy Policy is also available through the Privacy Policy field below.,● The game is free to play, however in-app purchases are available for additional content and premium currency. In-app purchases range from $0.99 to $99.99.,● This game does permit a user to connect to social networks, such as Facebook, and as such players may come into contact with other people when playing this game.,● Terms of Service for Social Networks you connect to in this game may also apply to you.,● You will be given the opportunity to participate in special offers, events, and programs from Zynga Inc. and its partners. ,● Must be 13+ to play.",,,"  500,000 - 1,000,000  ",14-Apr-16,   Varies with device  ,   Varies with device  ,Top Developer,"19,641",4.5,Crazy Cake Swap
      2.3 and up    ,Action,"Play against other people online! Can you become the biggest snake?,Watch out - if your head touches another snake, you will explode and then it's game over. But if you get other snakes to run into YOU, then THEY will explode and you can eat their remains!,Unlike other games, you have a fighting chance even if you're tiny! If you're a nimble navigator, you can swerve in front of a much larger snake to defeat them - no matter what size you are!,The biggest snake of the day gets to set a victory message that the ENTIRE WORLD will see!",,,"  5,000,000 - 10,000,000  ",30-Mar-16,,,,"380,277",4,slither.io
      2.1 and up    ,Racing,"THIS IS IT! This is off-road done right! Drive the most fire-breathing offroad vehicles in this adrenaline-filled hill climb madness now!,Crash the barriers and fly above bottomless chasms with off-roaders, monster trucks, garbage behemoths and F1 racing cars! More than 60 levels with different driving situations are waiting for you. Start the engine, feel the power of huge trucks and get your driving license now!,Game Features:,- Smooth and realistic vehicle handling,- More than 60 challenging levels,- Great 3D visuals and turbo sound,- Own, customize and upgrade vehicles including American and European classics",,,"  1,000,000 - 5,000,000  ",13-Apr-16, 1.0.4  , 17M  ,,"15,203",4.1,Offroad Hill Racing
      4.2 and up    ,Role Playing,"ASSEMBLE, STRATEGIZE, FIGHT!, ,Marvel: Avengers Alliance 2 is the massive sequel to the smash hit Marvel: Avengers Alliance, with a robust mobile gaming experience, greater customization, and amazing high quality visuals., ,Assemble a team with the Avengers, Daredevil, Guardians of the Galaxy, Spider-Man, and other Super Heroes to battle Ultron, Baron Strucker, and more epic Super Villains! A mysterious series of galactic collisions, known as Incursions, threaten the fate of Earth. You must use the powerful energy of Iso-8 to stop the destruction of every universe. Team up with friends and other players from around the globe to face deadly foes and prevail. , ,• Assemble the ultimate team to defeat notorious Super Villains,• Strategize and defeat evil forces in epic 3-on-3 combat,• Level-up and customize Super Heroes,• Collect and equip unique abilities for each Super Hero,• Take on dozens of replayable missions,• Win bonus rewards for completing Daily Operations,• Get powerful rewards in PVP tournaments,• Team up with friends’ Super Heroes to conquer missions, ,Before you download this experience, please consider that this app contains:,• Social media links to connect with others,• In-app purchases that cost real money,• The option to accept push notifications to let you know when we have exciting updates like new content,• Advertising for some third parties, including the option to watch ads for rewards,• Advertising for The Walt Disney Family of Companies, ,Terms Of Use:,http://disneytermsofuse.com,Privacy Policy:,https://disneyprivacycenter.com",,,"  1,000,000 - 5,000,000  ",12-Apr-16, 1.0.6  , 50M  ,,"49,211",4.1,Marvel: Avengers Alliance 2
      4.0 and up    ,Role Playing,"Your favorite characters from the popular “Tales of” series are here in an all-new story, crafted just for your mobile screen!  TALES OF LINK is a free-to-play RPG in which you create a party of your favorite heroes to fight in fun, tactical battles on their journey to save the world! Assemble your party and battle your way through the main story as your team grows stronger. Fans of anime series, JRPGs, and the classic “Tales of” will love the exhilarating battles and exciting tactical gameplay that TALES OF LINK brings right to the palm of your hand!  ,Features:,    - Your favorite “Tales of” characters with spectacular anime-style scenes!,    - Create a party of heroes from nine different characters, each with their own unique skills!,    - Strategize with over 360,000 team combinations for maximum tactical advantage in battle,    - An intuitive “touch-link battle system” links characters to perform devistating combos!,    - Summon powerful characters to defeat your opponents with tactical RPG-style gameplay!,    - Train and develop your characters in this all-new, exciting “Tales of” storyline!,The Story:,TALES OF LINK is set in a world protected by the “Seal of the Holy Shrine.” When the seal to the heavenly world is suddenly broken, the “Seed of Ruin"" is unleashed, scattering demons across the land. These demons bring inevitable disaster and threaten to inflict war and suffering on the world, and it’s up to you to stop them! Join your favorite anime characters on an epic journey to cleanse the world of these demons and stop them from destroying heaven and earth!,The “Tales of"" Series celebrates its 20th Anniversary thanks to fans worldwide!,The ""Tales of"" series of RPGs has shipped more than 16 million copies in over 100 countries and regions since 1995, starting with the popular “Tales of Phantasia”!,******************************************** ,[Pricing],Free to download,*Offers in-app purchases ,[Recommended OS version] , Android 4.1 or later ,[Disclaimer] ,(1) Operation is not supported for the models and OS versions other than those recommended. ,(2) Depending on your usage, there may be cases where operation is unstable even with the recommended models. ,(3) Regarding recommended OS versions, although it says [Android XXX or later] this does not guarantee that it will support the latest OS version. ,[Terms of Service] ,http://legal.bandainamcoent.co.jp/terms, ,[For inquiries regarding this product] ,http://bnfaq.channel.or.jp/contact, ,[BANDAI NAMCO Entertainment Official site] ,http://bandainamcoent.co.jp, ,[TALES OF LINK Official site] ,http://tolink.tales-ch.jp/,©MUTSUMI INOMATA ,©KOSUKE FUJISHIMA ,©2014 BANDAI NAMCO Entertainment Inc.",,,"  100,000 - 500,000  ",30-Mar-16, 1.9.2  , 59M  ,Top Developer,"3,476",4.1,TALES OF LINK
      4.0.3 and up    ,Word,"From the creators of the world's most popular word games WordBrain and Ruzzle comes WordBrain Themes!,Find and swipe words to solve these fun and increasingly challenging puzzles. Train your brain and advance from being a simple Word Newbie to becoming a Word Super Mastermind! ,Every puzzle has a unique theme that all the words are connected to, just use your brain to figure it out.,We aren't promising it's going to be easy, but you will have fun, and your brain will thank you afterwards for the workout!",,,"  1,000,000 - 5,000,000  ",11-Apr-16, 1.1.7  , 25M  ,Top Developer,"26,839",4.4,WordBrain Themes
      2.1 and up    ,Sports,"Real Wrestling is the #1 realistic 3D combat sports game involving grappling techniques. Step into the court and immerse yourself in adrenaline pumping world of wrestling action!,Real Wrestling puts the power, intensity, and raw emotion of wrestling in the palm of your hand. Jaw-dropping 3D graphics, intuitive touch controls, and action-packed game-play create a unique wwe combat experience for novice and veteran ufc fans alike. Fight using a variety of grappling type techniques such as clinch fighting, throws and take-downs, joint locks, pins to gain and maintain a superior position over your opponent now!,Game Features:,- Authentic actions and realistic wrestling moves,- 3D motion animations and spot-on sound design,- 140+ unique wrestlers in pro league and cage match mode",,,  1 - 5  ,19-Apr-16,1.3, 20M  ,,"4,391",4.1,Real Wrestling 3D
      2.3.3 and up    ,Pretend Play,"Use Ice Bear's awesome cooking skills to serve up some delicious dishes in Stirfry Stunts!,This app is only available in English. Don't worry. It's super fun and doesn't have much text. Have fun!,GRILLIN' AND CHILLIN',Working the grill at a teppanyaki restaurant is no easy task. You've got to juggle ingredients and orders to satisfy a nonstop rush of hungry customers. Luckily, Ice Bear is the coolest chef around. With him manning the spatulas, everybody will leave happy!,MAKE MAGNIFICENT MEALS,Unlock new foods like shrimp, scallops and lobster to cook your culinary masterpiece. Use more exotic ingredients to increase your multipliers and really rack up the points.,GET HELP FROM YOUR BROS,Call on Grizz and Panda to distract your customers with a little song and dance, giving you more time to perfect your recipes.,BECOME A GRILLMASTER,Upgrade your grill and plates to give you more room to work. Pull out tricks like the classic onion volcano to boost your score sky high.,Get ready to cook up a storm with Ice Bear in STIRFRY STUNTS!,********************* ,This game is available in the following languages: English,If you're having any problems with this app, feel free to contact us at ,advanced.platforms@turner.com,. Tell us about the issues you're running into as well as what device and OS version you're using. ,********************* ,IMPORTANT CONSIDERATIONS: ,This app may contain ads that feature other products, services, shows or offers from Cartoon Network and our partners.,PRIVACY INFORMATION: Your privacy is important to us at Cartoon Network, a division of Turner Broadcasting System, Inc. This game collects and uses information as described in Cartoon Network’s Privacy Policy linked below. This information may be used, for example, to respond to user requests; enable users to take advantage of certain features and services; personalize content; serve advertising; perform network communications; manage and improve our products and services; and perform other internal operations of Cartoon Network web sites or online services. Our privacy practices are guided by data privacy laws in the United States. For users residing in the EU or other countries outside the U.S., please note that this app may use persistent identifiers for game management purposes. By downloading this application, you accept our Privacy Policy and End User License Agreement, and you give permission for such uses for all users of your device. The Privacy Policy and End User License Agreement are in addition to any terms, conditions or policies imposed by your wireless carrier and Google, Inc. Cartoon Network and its affiliates are not responsible for any collection, use, or disclosure of your personal information by Google or your wireless carrier. ,Terms of Use: ,http://www.cartoonnetwork.com/legal/termsofuse.html, ,Privacy Policy: ,http://www.cartoonnetwork.com/legal/privacy/mobile.html",,,"  1,000,000 - 5,000,000  ",23-Mar-16, 1.0.0  , 63M  ,Top Developer,"15,419",4.2,StirFry Stunts - We Bare Bears
      2.3 and up    ,Casual,"Kitchen Story is a beautiful cooking simulation game that tests your cooking, time management & serving skills. You are competing against the best super chefs of the town. It’s time to reveal the chef inside you…,You have to serve customers with quality and speed in order to win popularity and earn money. Join Jane on an exciting adventure of serving street food from her truck and baking cookies in her sweet bakery.,From the creators of one of the best time management tycoon games- Restaurant Tycoon and Resort Tycoon!,Kitchen Story Features:,•	FREE TO PLAY, lifelong!,•	Unique competitor system.,•	Simple, intuitive and addictive gameplay.,•	Plenty of appliances and decoration items!,•	Play offline and serve your guests without wasting data.,•	Characteristic voice overs.,•	Much more...,Players can pay real money for in-game currency and to enhance the game-play.,There is a wide variety of unique dishes to cook. In your kitchen, scramble some eggs, use salad, sandwich, smoothie, pasta, pizza, waffle and ice cream makers. Upgrade each maker / equipment to speed things up.,Join Jane’s quest of rising as the master super star cook and chef in Cookie Town. Live the cooking saga and enjoy the mania of catering fever. Compete against the best super chefs of the town.,Cuisines: Chinese, Italian, Mediterranean, Lebanese, Thai, Mexican, Indian and many more to be added soon.,Special food for the month: Chocolate truffle, seafood, chocolate donut, fried chicken burger, latte coffee, king hotdog, marshmallow sandwich and hot pops from the shop across.,Game is packed with:,• Lip Smacking Delicacies,   Cook tasty dishes, ranging from piping hot soups to smooth ice creams that simply melt in the mouth.,• Unique Competitor System,    Hey Chef, challenge and test your fortune against some of the star cooking chefs around the world and become the finest chef.,• Real Simulation Experience,     Enjoy every bit of managing your roadside diner and watch it grow before your eyes. Your actions define how you'll be progressing.,• Stunning Visuals and Upgrades,     -	Cute characters and joyful decors elevate the visual quality of the game and take it to another level.,     -	Beautify your restaurant, make it stand out.,     -	Upgrade equipment and give your customers an experience that is a class apart.,• Wanna make some money?,Start earning as soon as you set up your diner, start cooking in your kitchen and dash out to tips.,Wear your apron and chef's hat to start your catering business on the go, meet new people and become a star master of all chefs!,If you like our work, please like us on Facebook, to offer you better games. FOLLOW US at facebook.com/appongames ,Also, watch our game trailer on YouTube!,Download now, for free!,Get this game today and start your virtual live cookery career!",,,"  1,000,000 - 5,000,000  ",19-Apr-16,2.1, 10.0M  ,,"15,206",4.2,Kitchen Story
      2.3 and up    ,Puzzle,"Meet Greg. A hungry little chameleon that loves popcorn! Help feed Greg by pulling his tongue through a series of fun puzzles that include, zappers, spikes, chewing gum, balloons and more!,Key Features:,- 5 worlds with 90 levels,- Cute and cuddly character,- Deliciously unique tongue physics (yes there is such a thing),- Never before seen gameplay and puzzles,Please note that In App Purchases are entirely optional and in no way required to complete the game! ,Enjoy!",,,"  1,000,000 - 5,000,000  ",8-Apr-16, 1.1.1  , 47M  ,Top Developer,"14,762",4,Pull My Tongue
